yield,net_profit,net_worth,debt_ratio
0,0.06,54.35,45.65
4.07,1.32,54.38,45.62
0,0.03,54.38,45.62
3.43,7.28,54.39,45.61
0,0.04,54.41,45.59
5.95,2.65,54.43,45.57
1.29,0.97,54.44,45.56
1.32,-0.92,54.44,45.56
1.25,0.35,54.45,45.55
6.64,2.63,54.52,45.48
1.79,1.92,54.52,45.48
1.77,1.44,54.52,45.48
3.38,3.11,54.56,45.44
0.89,-0.68,54.56,45.44
3.54,2.03,54.59,45.41
0,-1.61,54.61,45.39
4.44,3.05,54.62,45.38
0,0.12,54.63,45.37
1.48,0.27,54.69,45.31
0,-0.48,54.69,45.31
0,-0.46,54.7,45.3
0,-0.12,54.72,45.28
0,4.29,54.76,45.24
3.32,0.89,54.76,45.24
2.02,0.9,54.78,45.22
1.62,0.72,54.87,45.13
4.02,0.9,54.89,45.11
1.76,0.15,54.95,45.05
1,0.63,54.96,45.04
0,0.4,54.97,45.03
6.03,3.09,54.98,45.02
0.47,4.49,54.99,45.01
2.43,1.74,55.01,44.99
5.89,2.6,55.05,44.95
5.17,1.8,55.08,44.92
4.31,4.45,55.13,44.87
1.79,0.4,55.14,44.86
5.63,8.2,55.15,44.85
0.45,0.26,55.16,44.84
0,-0.2,55.17,44.83
3,0.03,55.19,44.81
2.84,4.6,55.22,44.78
6.23,0.97,55.23,44.77
1.96,0.44,55.25,44.75
0,3.66,55.28,44.72
0,0.68,55.31,44.69
2.02,1.27,55.32,44.68
4.21,2.37,55.36,44.64
2.06,1.46,55.36,44.64
6.3,3.5,55.4,44.6
0,-2.65,55.41,44.59
0.99,-0.07,55.43,44.57
0,-0.3,55.47,44.53
1.81,1.88,55.48,44.52
4.78,1.28,55.5,44.5
1.99,0.89,55.52,44.48
2.43,1.65,55.56,44.44
2.28,0.64,55.61,44.39
2.9,0.68,55.63,44.37
0,-0.7,55.63,44.37
5.16,2.79,55.64,44.36
1.86,2.1,55.64,44.36
2.86,3,55.68,44.32
3.89,6.51,55.69,44.31
1.21,2.62,55.7,44.3
2.09,0.11,55.71,44.29
0,-0.27,55.74,44.26
2.9,0.61,55.76,44.24
2.63,1.52,55.78,44.22
4.39,11.43,55.79,44.21
4.58,4.01,55.8,44.2
3.34,0.93,55.82,44.18
3.66,0.64,55.84,44.16
5.62,1.16,55.87,44.13
3.01,4.63,55.91,44.09
2.13,3.55,55.91,44.09
4.9,1.94,55.94,44.06
0.6,0.69,55.95,44.05
0,-0.99,55.95,44.05
4.98,0.86,56,44
1.68,3.23,56.03,43.97
3.9,3.07,56.03,43.97
5.77,0.93,56.03,43.97
0,-1,56.03,43.97
2.91,3,56.05,43.95
0,-0.41,56.07,43.93
5.1,6.04,56.08,43.92
4.2,1.14,56.09,43.91
5.26,3.06,56.13,43.87
0,0.26,56.17,43.83
4.84,1.79,56.19,43.81
0,-0.33,56.2,43.8
2.81,1.93,56.27,43.73
0,-0.66,56.3,43.7
2.5,2.2,56.34,43.66
0,-0.16,56.34,43.66
1.03,0.67,56.46,43.54
4.61,1.67,56.47,43.53
2.53,1.53,56.47,43.53
1.22,3.5,56.49,43.51
5.48,1.2,56.49,43.51
2.48,1.15,56.49,43.51
2.64,0.85,56.54,43.46
1.31,2.02,56.56,43.44
0,0.95,56.58,43.42
5.56,10.27,56.65,43.35
0,-0.15,56.65,43.35
0,0.04,56.66,43.34
3.55,1.75,56.67,43.33
4.54,4.42,56.71,43.29
4.8,3.32,56.72,43.28
3.65,-0.1,56.72,43.28
3.1,0.77,56.85,43.15
0.47,0.24,56.88,43.12
3.06,5.38,56.91,43.09
0.46,0.1,56.91,43.09
6.63,2.27,56.95,43.05
2.92,1.68,56.98,43.02
1.4,2.8,56.99,43.01
5.28,8.05,57.01,42.99
1.46,0.75,57.01,42.99
0,0.38,57.04,42.96
1.04,12.1,57.12,42.88
4.75,0.6,57.2,42.8
1.68,5.23,57.22,42.78
0,0.37,57.24,42.76
2.99,2.29,57.28,42.72
5.68,3.31,57.31,42.69
3.93,35.92,57.33,42.67
0.62,4.85,57.35,42.65
1.96,0.43,57.37,42.63
4.31,1.63,57.4,42.6
4.27,3.07,57.41,42.59
5.51,0.79,57.44,42.56
2.5,2.52,57.45,42.55
2.23,1.13,57.45,42.55
5.07,4.61,57.51,42.49
3.32,0.14,57.51,42.49
0,-0.01,57.57,42.43
3.62,1,57.59,42.41
0.4,0.01,57.62,42.38
2.62,1.18,57.65,42.35
5.65,0.61,57.65,42.35
2.7,12.18,57.66,42.34
0,0.04,57.73,42.27
3.57,2.8,57.77,42.23
2.18,4.59,57.84,42.16
4.38,3.67,57.86,42.14
5.71,2.54,57.88,42.12
0,1.85,57.91,42.09
2.43,1.41,57.92,42.08
0,-0.96,57.98,42.02
1.61,1.08,58.02,41.98
3.44,3.86,58.03,41.97
1.78,0.89,58.04,41.96
2.13,3.45,58.16,41.84
4.09,1.71,58.16,41.84
2.14,1.97,58.17,41.83
1.71,1.1,58.17,41.83
5.63,0.24,58.19,41.81
6.37,3.03,58.24,41.76
0,2.1,58.27,41.73
3.73,4.02,58.33,41.67
5.39,1.85,58.33,41.67
5.59,1.69,58.35,41.65
0,-0.12,58.36,41.64
5.03,1.6,58.41,41.59
3.91,1.29,58.42,41.58
0,0.79,58.46,41.54
1.04,0.63,58.46,41.54
0,-1.68,58.46,41.54
1.12,6.14,58.52,41.48
0.32,0.81,58.56,41.44
0,-0.23,58.57,41.43
1.04,2.3,58.63,41.37
1.4,4.09,58.64,41.36
0,1.68,58.64,41.36
1.07,0.45,58.64,41.36
1.42,0.38,58.64,41.36
1.92,-0.74,58.64,41.36
1.48,0.95,58.68,41.32
3.92,0.71,58.73,41.27
4.3,2.39,58.75,41.25
2.64,0.92,58.75,41.25
4.79,2.03,58.76,41.24
1.37,1.48,58.82,41.18
1.14,-0.24,58.82,41.18
4.94,0.8,58.84,41.16
0,-1.48,58.88,41.12
0.75,0.35,58.89,41.11
1.19,-0.21,58.93,41.07
1.3,0.15,58.99,41.01
6.35,2.78,59,41
1.8,0.88,59.04,40.96
3.98,5.04,59.09,40.91
1.82,3.34,59.11,40.89
2.03,-0.1,59.13,40.87
0,-1.38,59.16,40.84
2.89,3.68,59.17,40.83
3.27,5.43,59.18,40.82
3.26,1.35,59.19,40.81
2.83,0.41,59.19,40.81
4.6,1.35,59.22,40.78
1.58,1.14,59.22,40.78
0.82,3.22,59.24,40.76
2.56,1.58,59.24,40.76
0.71,1.13,59.26,40.74
2.19,0.63,59.27,40.73
5.25,0.89,59.31,40.69
2.61,1.19,59.33,40.67
0,-1.71,59.33,40.67
3.3,0.45,59.38,40.62
1.56,0.28,59.4,40.6
2.95,1.87,59.42,40.58
1.66,1.36,59.43,40.57
2.08,1.18,59.47,40.53
1.12,-1.21,59.48,40.52
0,-1.35,59.51,40.49
0.91,0.26,59.52,40.48
4.04,1.41,59.55,40.45
0,-0.67,59.55,40.45
0,-0.21,59.56,40.44
0,-0.51,59.67,40.33
4.93,4.43,59.69,40.31
3.99,2.27,59.78,40.22
1.42,9.94,59.84,40.16
4.42,5.12,59.84,40.16
1.54,1.53,59.84,40.16
3.69,1.04,59.85,40.15
2.01,2.2,59.87,40.13
1.02,0.35,59.88,40.12
0,-0.5,59.89,40.11
0,0.33,59.9,40.1
3.71,1.62,59.92,40.08
0,-1.08,59.92,40.08
4.46,2.69,59.97,40.03
1.12,0.33,60.01,39.99
0.92,0.13,60.03,39.97
0,0.58,60.07,39.93
3.2,3.37,60.08,39.92
4.33,12.42,60.12,39.88
5.35,2.63,60.19,39.81
3.82,2.6,60.28,39.72
4.37,1.1,60.33,39.67
2.64,0.17,60.37,39.63
1.97,1.56,60.39,39.61
5.35,0.21,60.39,39.61
0.72,5.15,60.4,39.6
4.6,0.94,60.42,39.58
3.81,3.25,60.44,39.56
2.72,8.79,60.51,39.49
1.99,1.57,60.56,39.44
2.86,5.41,60.59,39.41
2.05,-0.05,60.59,39.41
4.92,1.55,60.62,39.38
5.39,1.93,60.67,39.33
4.11,4.2,60.69,39.31
0,-0.28,60.71,39.29
1.78,2.92,60.73,39.27
4.3,0.18,60.75,39.25
4.18,0.96,60.77,39.23
0,1.08,60.78,39.22
4.84,2.8,60.79,39.21
0,0.13,60.79,39.21
2.73,0.05,60.8,39.2
3.1,0.93,60.81,39.19
2.86,0.83,60.81,39.19
0.84,0.44,60.82,39.18
0,-0.5,60.82,39.18
1.2,0.26,60.83,39.17
2.92,1.64,60.87,39.13
3.66,11.96,60.88,39.12
1.55,-0.21,60.92,39.08
1.56,1.48,60.94,39.06
3.9,8.02,60.95,39.05
4.78,2.21,60.98,39.02
1.91,1.07,61,39
4.24,8.63,61.01,38.99
0,-0.66,61.03,38.97
0,-3.02,61.03,38.97
0,-0.11,61.04,38.96
2.06,0.83,61.05,38.95
0,0.64,61.09,38.91
5.12,1.72,61.13,38.87
0,-0.95,61.13,38.87
4.87,2.36,61.14,38.86
0,0.5,61.14,38.86
3.23,1.21,61.15,38.85
5.93,4.05,61.17,38.83
3.99,6.52,61.18,38.82
0.56,3.7,61.21,38.79
6.37,4.66,61.22,38.78
4.78,2.48,61.31,38.69
0,0.34,61.34,38.66
0,-1.53,61.35,38.65
0,-1.15,61.36,38.64
0,-0.26,61.41,38.59
4.17,0.53,61.42,38.58
5.27,2.92,61.43,38.57
0,-0.67,61.5,38.5
1.56,0.86,61.52,38.48
2.89,1.18,61.57,38.43
1.16,4,61.58,38.42
0,0.06,61.62,38.38
4.25,0.73,61.7,38.3
2.59,4.89,61.72,38.28
4.53,3.22,61.76,38.24
2.25,2.97,61.76,38.24
1.69,5.77,61.79,38.21
3.15,4.93,61.81,38.19
0,0.06,61.82,38.18
0,-1.09,61.82,38.18
0.85,4.99,61.83,38.17
3.35,0.45,61.84,38.16
3.96,1.09,61.86,38.14
0,-0.42,61.89,38.11
2.08,5.58,61.91,38.09
2.63,1.2,61.95,38.05
0.53,1.07,61.97,38.03
4.18,3.81,62.01,37.99
0.94,0.17,62.03,37.97
0,-0.61,62.04,37.96
1.74,0.25,62.1,37.9
1.49,3.5,62.11,37.89
0,-1.04,62.12,37.88
2.26,0.78,62.19,37.81
5,0.52,62.19,37.81
3.38,1,62.21,37.79
4.6,1.24,62.23,37.77
1.74,0.56,62.26,37.74
1.72,1.65,62.27,37.73
0,-1.1,62.31,37.69
2.41,1.76,62.32,37.68
3.25,0.86,62.33,37.67
2.43,0.86,62.33,37.67
2.56,2.85,62.36,37.64
2.78,2.51,62.39,37.61
1.13,2.52,62.4,37.6
1.53,2.18,62.51,37.49
0,-0.95,62.51,37.49
2.63,0.6,62.52,37.48
0.75,-0.35,62.53,37.47
0.74,0.13,62.55,37.45
0,-1.16,62.55,37.45
3.68,0.98,62.56,37.44
0.09,0.88,62.56,37.44
4.34,6.08,62.59,37.41
0,-0.9,62.59,37.41
0,-0.71,62.6,37.4
0.96,0.42,62.62,37.38
4.97,1.36,62.64,37.36
1.35,0.3,62.67,37.33
1.12,3.42,62.69,37.31
0,-0.07,62.73,37.27
5.32,2.69,62.76,37.24
0,-2.08,62.78,37.22
7.21,2.95,62.8,37.2
3.98,1.4,62.81,37.19
0,-0.15,62.84,37.16
5.35,2.26,62.85,37.15
2.76,0.43,62.85,37.15
1.38,-0.81,62.87,37.13
4.74,0.94,62.9,37.1
5.66,5.98,62.92,37.08
4.5,2.33,62.93,37.07
0,-0.16,62.96,37.04
0.87,0.07,63.05,36.95
1.96,0.64,63.06,36.94
4.31,11.77,63.07,36.93
0,0.04,63.08,36.92
3.14,2.74,63.09,36.91
5.13,21.74,63.11,36.89
3.26,4.01,63.12,36.88
1.33,2.13,63.12,36.88
1.12,0.4,63.13,36.87
3.72,4.77,63.19,36.81
2.92,6.01,63.21,36.79
5.81,3.03,63.21,36.79
2.85,0.76,63.23,36.77
4.45,3.6,63.25,36.75
2.99,0.46,63.25,36.75
1.38,0.1,63.26,36.74
3,1.03,63.31,36.69
4.71,1.7,63.32,36.68
2.29,-0.6,63.41,36.59
2.11,23.78,63.44,36.56
0,-0.28,63.44,36.56
3.32,0.46,63.48,36.52
4.6,2.18,63.51,36.49
0.37,0.03,63.51,36.49
2.55,4.76,63.55,36.45
3.85,0.96,63.56,36.44
0,-0.55,63.57,36.43
4.53,1.3,63.6,36.4
1.41,1.09,63.6,36.4
2.15,1.02,63.61,36.39
6.32,0.91,63.7,36.3
2.69,0.5,63.7,36.3
0.13,0.03,63.74,36.26
2.19,4.35,63.8,36.2
1.35,18.25,63.86,36.14
0.69,0.92,63.89,36.11
6.27,3.74,63.94,36.06
0.32,-0.24,63.94,36.06
0.89,1.96,63.99,36.01
0,-2.39,63.99,36.01
3.12,0.67,64.01,35.99
2.45,6.1,64.02,35.98
2.93,4.75,64.02,35.98
3.69,5.49,64.04,35.96
2.11,2.16,64.04,35.96
0,0.17,64.18,35.82
2.07,1.6,64.22,35.78
3.17,-0.35,64.27,35.73
4.71,6.66,64.28,35.72
0,-0.39,64.28,35.72
5.77,1.33,64.32,35.68
2.7,0.84,64.32,35.68
4.2,1.39,64.33,35.67
1.97,5.8,64.34,35.66
3.11,1.07,64.35,35.65
1.53,1.37,64.36,35.64
5.96,2.12,64.38,35.62
2.52,3.28,64.39,35.61
4.61,0.79,64.39,35.61
2.48,0.58,64.41,35.59
4.11,1.84,64.42,35.58
0,-0.06,64.42,35.58
0,-0.44,64.43,35.57
2.25,2.48,64.44,35.56
0,0.2,64.45,35.55
2.02,0.96,64.46,35.54
0.53,0.92,64.46,35.54
6.13,1.77,64.5,35.5
3.79,1.44,64.52,35.48
0,-0.39,64.55,35.45
2.87,1.79,64.6,35.4
4.26,3.03,64.7,35.3
0.84,3.29,64.76,35.24
4.04,0.79,64.77,35.23
6.2,1.6,64.78,35.22
0.97,25.38,64.82,35.18
3.34,3.38,64.82,35.18
4.35,1.24,64.82,35.18
0,-2.52,64.82,35.18
0,0.26,64.83,35.17
2.55,1.39,64.84,35.16
4.78,6.2,64.95,35.05
0,-0.87,65.04,34.96
0,-0.37,65.06,34.94
0.95,2.02,65.07,34.93
4.05,3.62,65.08,34.92
2.12,2.02,65.12,34.88
2.81,6.87,65.15,34.85
2.95,2.31,65.16,34.84
4.11,1.33,65.16,34.84
3.41,3.61,65.2,34.8
4.72,1.4,65.2,34.8
1.36,0.6,65.24,34.76
2.14,1.16,65.26,34.74
1.86,0.59,65.26,34.74
0,-0.53,65.33,34.67
3.25,4.97,65.35,34.65
1.08,0.03,65.36,34.64
0,-1.3,65.38,34.62
0.91,35.26,65.39,34.61
1.93,1.01,65.39,34.61
3.62,3.7,65.4,34.6
4.15,4.02,65.41,34.59
2.44,1.58,65.42,34.58
4.76,1.86,65.46,34.54
0.19,0,65.46,34.54
1.7,1.97,65.47,34.53
0,-0.27,65.49,34.51
0,-0.97,65.49,34.51
2.92,0.85,65.54,34.46
2.59,-0.23,65.57,34.43
0.78,0.06,65.63,34.37
0,-0.53,65.63,34.37
6.35,2.85,65.65,34.35
4.26,1.2,65.8,34.2
4.69,4.82,65.83,34.17
3.98,3.13,65.84,34.16
4.89,5.83,65.86,34.14
0,5.2,65.87,34.13
0,0.78,65.89,34.11
0,0.04,65.9,34.1
3.66,1.53,65.94,34.06
4.19,3.52,65.97,34.03
1.01,3.62,65.98,34.02
4.69,1.54,66.05,33.95
2.1,1.14,66.05,33.95
5.13,3.35,66.17,33.83
6.1,2.37,66.17,33.83
2.03,1.66,66.18,33.82
3.94,11.1,66.19,33.81
0.79,1.31,66.24,33.76
0,-0.18,66.25,33.75
4.04,1.64,66.26,33.74
4.42,-0.31,66.27,33.73
1.14,0.93,66.29,33.71
0.87,3.67,66.31,33.69
3.13,2.02,66.35,33.65
0,-0.77,66.36,33.64
3.66,0.41,66.37,33.63
6.12,1.99,66.39,33.61
2.49,1.05,66.43,33.57
2.96,-0.05,66.48,33.52
0,-0.3,66.49,33.51
5.76,2.85,66.51,33.49
0,0.4,66.53,33.47
4.34,1.2,66.57,33.43
0,0.5,66.62,33.38
6.78,1.64,66.64,33.36
0.78,0.28,66.64,33.36
3.16,4.04,66.67,33.33
4.82,5.63,66.7,33.3
5.93,1.5,66.74,33.26
3.45,2.79,66.75,33.25
2.59,1.99,66.75,33.25
3.76,3.48,66.8,33.2
2.28,0.87,66.8,33.2
2.39,1.15,66.81,33.19
1.33,2.33,66.83,33.17
3.61,1.66,66.92,33.08
2.16,-0.43,66.98,33.02
1.91,3.1,67,33
5.52,4.01,67.01,32.99
2.78,0.93,67.01,32.99
1.52,0.79,67.02,32.98
1.17,2.76,67.05,32.95
6.48,3.35,67.09,32.91
0,0.26,67.1,32.9
1.84,10.63,67.11,32.89
6.63,0.38,67.12,32.88
2.92,0.6,67.2,32.8
2.62,-0.21,67.26,32.74
1.7,-0.35,67.28,32.72
3.34,0.56,67.33,32.67
5.17,1.81,67.34,32.66
4.14,1.85,67.35,32.65
1.68,0.55,67.35,32.65
4,0.43,67.39,32.61
1.98,3.27,67.4,32.6
4.97,1.92,67.42,32.58
3.25,0.77,67.42,32.58
6.03,3.48,67.45,32.55
5.27,1.16,67.58,32.42
0,-0.94,67.58,32.42
3.08,10.91,67.59,32.41
6.38,2.46,67.6,32.4
0,-1.21,67.6,32.4
0,-0.67,67.64,32.36
1.01,0.35,67.68,32.32
5.59,6.62,67.73,32.27
0,-2.38,67.8,32.2
2.02,0.96,67.82,32.18
2.4,0.17,67.83,32.17
5.21,2.47,67.87,32.13
4.78,5.57,67.9,32.1
4.5,0.72,67.91,32.09
0.36,0.05,67.99,32.01
0.96,0.22,68.02,31.98
0,-0.98,68.02,31.98
0,-0.95,68.03,31.97
0,0.43,68.05,31.95
2.91,-0.05,68.07,31.93
3.31,0.91,68.08,31.92
1.33,1.97,68.11,31.89
4.43,1.19,68.13,31.87
5.22,2.86,68.14,31.86
1.66,1.37,68.15,31.85
3.53,0.62,68.17,31.83
4.04,0.44,68.19,31.81
4.36,2.26,68.22,31.78
0.29,1.91,68.24,31.76
0,0.65,68.24,31.76
5.51,0.3,68.24,31.76
0,-1.09,68.24,31.76
0,0.38,68.29,31.71
3.62,8.14,68.3,31.7
2.19,0.21,68.3,31.7
34.48,-0.52,68.3,31.7
12.77,0.7,68.34,31.66
2.93,1.49,68.4,31.6
2.61,0.13,68.42,31.58
0,0.49,68.45,31.55
0,0.05,68.47,31.53
0.92,0.81,68.51,31.49
4.69,1.6,68.52,31.48
2.78,0.55,68.52,31.48
1.18,0.44,68.53,31.47
0.31,-0.13,68.65,31.35
0.41,23.77,68.69,31.31
5.28,1.78,68.69,31.31
0,-0.95,68.72,31.28
6.51,3.7,68.75,31.25
4.58,8.69,68.79,31.21
3.24,-0.16,68.85,31.15
5.47,4.27,68.9,31.1
2.55,0.96,69.01,30.99
0,1.14,69.05,30.95
3.44,2.09,69.1,30.9
6.96,1.17,69.14,30.86
5.29,1.01,69.15,30.85
1.63,3.7,69.24,30.76
3.98,3.27,69.24,30.76
2.14,2,69.28,30.72
2.25,1.42,69.32,30.68
2.45,3,69.34,30.66
0.55,0.3,69.34,30.66
0,-0.78,69.35,30.65
2.65,-0.85,69.37,30.63
3.44,7.07,69.39,30.61
2.09,12.62,69.4,30.6
0.98,0.1,69.43,30.57
1.79,0.07,69.45,30.55
3.24,3.53,69.46,30.54
0,-0.42,69.54,30.46
0,-1.18,69.54,30.46
0,0.09,69.55,30.45
0,-0.39,69.6,30.4
4.44,4.97,69.62,30.38
1.19,0.53,69.62,30.38
0,1.25,69.68,30.32
3.24,3.35,69.74,30.26
0,0.47,69.75,30.25
0.82,10.94,69.76,30.24
5.55,4.46,69.76,30.24
2.84,1.81,69.78,30.22
0.59,0,69.79,30.21
0,-0.26,69.79,30.21
4.29,4.1,69.82,30.18
2.88,1.26,69.82,30.18
0,0.67,69.86,30.14
0,0.12,69.88,30.12
3.31,1.44,69.92,30.08
0,0,69.92,30.08
5.18,0.23,69.97,30.03
0,-0.87,70.02,29.98
1.72,1.71,70.07,29.93
5.81,0.47,70.08,29.92
5.44,3.39,70.15,29.85
4.64,8.07,70.16,29.84
1.92,3.9,70.24,29.76
0.78,0.66,70.31,29.69
2.67,0.85,70.32,29.68
3.79,2.48,70.33,29.67
2.88,0.62,70.37,29.63
1.76,1.14,70.38,29.62
6.99,1.51,70.42,29.58
3.01,0.27,70.44,29.56
3.45,2.41,70.5,29.5
6.8,3.19,70.53,29.47
4.47,0.49,70.55,29.45
2.36,4.93,70.57,29.43
2.55,1.67,70.59,29.41
0.32,-0.48,70.63,29.37
4.8,1.42,70.66,29.34
4.48,1.46,70.67,29.33
0,-3.55,70.69,29.31
3.69,2.68,70.8,29.2
2.61,1.11,70.83,29.17
3.7,3.74,70.91,29.09
2.69,1.03,70.93,29.07
0.51,-0.05,70.93,29.07
0,0.13,70.96,29.04
0,-1.35,70.96,29.04
1.1,0.16,70.97,29.03
0,0.3,71.01,28.99
5.6,2.83,71.22,28.78
0,-0.05,71.22,28.78
2.27,1.92,71.24,28.76
2.33,0.71,71.27,28.73
3.95,2.17,71.32,28.68
2.67,2.05,71.39,28.61
0,1.06,71.39,28.61
1.27,0.02,71.4,28.6
3.69,0.9,71.47,28.53
0,-0.67,71.5,28.5
3.19,0.51,71.58,28.42
1.39,2.24,71.63,28.37
4.66,3.07,71.64,28.36
5.65,2.54,71.66,28.34
0.72,0.59,71.73,28.27
0,-0.61,71.75,28.25
1.28,2.08,71.81,28.19
3.3,1.74,71.85,28.15
0.54,4.66,71.89,28.11
1.52,3.36,71.94,28.06
2.16,1.34,71.97,28.03
5.38,1.04,71.97,28.03
3.15,2.52,72.01,27.99
5.43,1.52,72.01,27.99
4.85,4.87,72.05,27.95
2.97,2.46,72.09,27.91
2.7,1.6,72.1,27.9
0,-0.4,72.12,27.88
2.63,-0.12,72.13,27.87
4.22,3.43,72.14,27.86
4.98,1.86,72.16,27.84
4.75,5.34,72.2,27.8
4.5,3.95,72.26,27.74
1.58,38.27,72.29,27.71
3.77,8.23,72.29,27.71
1.08,-0.15,72.32,27.68
6.86,-1.66,72.37,27.63
1.6,3.85,72.42,27.58
1.11,2.4,72.43,27.57
0,0.06,72.48,27.52
0,-0.73,72.49,27.51
3.43,1.97,72.58,27.42
2.87,0.88,72.6,27.4
4.8,3.23,72.64,27.36
2.45,1.01,72.65,27.35
1.25,0.09,72.68,27.32
0,1.43,72.69,27.31
3.46,1.22,72.75,27.25
2.56,0.63,72.77,27.23
0.9,0.21,72.79,27.21
1.65,0.14,72.83,27.17
1.81,1.7,72.84,27.16
0,-0.13,72.84,27.16
1.59,-0.17,72.85,27.15
1.11,0.77,72.88,27.12
1.06,0.21,72.91,27.09
2.05,1.27,72.93,27.07
5.92,7.05,72.95,27.05
2.68,6.66,73.03,26.97
4.46,2.04,73.07,26.93
0,0.23,73.1,26.9
0,-0.81,73.11,26.89
2.94,2.38,73.15,26.85
0.81,-0.13,73.17,26.83
3.72,4.69,73.18,26.82
1.81,0.18,73.19,26.81
0,-0.19,73.19,26.81
0.79,0.15,73.25,26.75
0.85,8.69,73.28,26.72
2.22,0.25,73.29,26.71
0,-1.86,73.3,26.7
4.92,1.07,73.32,26.68
0,-0.71,73.32,26.68
2.63,3.66,73.39,26.61
1.66,1.03,73.39,26.61
0,-1.09,73.39,26.61
1.7,0.3,73.41,26.59
3.58,3.4,73.46,26.54
0.67,7.23,73.48,26.52
0,-0.13,73.49,26.51
0,-0.16,73.5,26.5
5.02,1.32,73.53,26.47
0,3.82,73.55,26.45
0,-0.41,73.55,26.45
0,0.22,73.58,26.42
1.72,0.01,73.58,26.42
0,-0.64,73.59,26.41
5.62,0.58,73.64,26.36
0,-0.23,73.64,26.36
3.64,2.62,73.7,26.3
4.73,3.94,73.74,26.26
2.53,3.24,73.75,26.25
4.58,3.83,73.81,26.19
2.37,1.16,73.85,26.15
0.16,-0.14,73.86,26.14
0,0.05,73.88,26.12
1.38,0.89,73.92,26.08
4.84,4.44,73.93,26.07
1.71,3.05,73.96,26.04
1.72,0.51,73.96,26.04
0,-1.54,73.99,26.01
1.35,1.05,74,26
4.19,7.53,74.09,25.91
0,-1.05,74.11,25.89
3.05,4.2,74.25,25.75
4.9,0.19,74.26,25.74
5.26,1.05,74.27,25.73
3.04,0.73,74.34,25.66
0.95,0.15,74.34,25.66
0,0.4,74.4,25.6
2.33,0.23,74.44,25.56
3.32,1.17,74.49,25.51
3.2,1.94,74.51,25.49
0,-0.22,74.54,25.46
3.13,4.01,74.6,25.4
2.62,2.34,74.6,25.4
2.81,0.61,74.61,25.39
4.39,10.02,74.65,25.35
1.69,1.01,74.65,25.35
2.05,0.07,74.65,25.35
2.34,0.14,74.69,25.31
3.74,3.15,74.74,25.26
2.49,-0.14,74.75,25.25
0,-0.16,74.76,25.24
3.44,3.72,74.86,25.14
2.55,3.27,74.93,25.07
0,-0.46,74.94,25.06
5.35,1.04,75.04,24.96
4.26,5.47,75.1,24.9
1.96,0.57,75.12,24.88
2.11,-1.88,75.15,24.85
0,-1.88,75.18,24.82
1.06,-1.03,75.23,24.77
0,-1.16,75.23,24.77
5.11,1.58,75.24,24.76
2.1,1.21,75.24,24.76
6.95,1.66,75.35,24.65
3.66,3.93,75.39,24.61
6.38,1.09,75.39,24.61
5.63,0.82,75.41,24.59
3.29,4.06,75.42,24.58
4.33,1,75.43,24.57
1.57,1.71,75.45,24.55
1.98,2.13,75.55,24.45
1.98,0.85,75.57,24.43
5.75,5.3,75.59,24.41
1.71,0,75.64,24.36
1.7,1.47,75.66,24.34
2.49,2.18,75.68,24.32
5.19,2.17,75.74,24.26
5.96,1.7,75.76,24.24
2.67,0.78,75.77,24.23
0,-0.25,75.77,24.23
0,-0.34,75.8,24.2
1.34,7.27,75.82,24.18
4.73,1.04,75.86,24.14
1.01,1.48,75.88,24.12
1.12,0.21,75.91,24.09
3.18,7.24,76.01,23.99
1.25,5.54,76.01,23.99
4.48,3.02,76.03,23.97
3.14,0.56,76.06,23.94
1.14,29.84,76.11,23.89
3.5,-0.73,76.12,23.88
0,-1.86,76.13,23.87
2.51,0.94,76.14,23.86
2.06,0.57,76.14,23.86
5.81,2.4,76.18,23.82
0.95,0.37,76.2,23.8
2.8,6.15,76.25,23.75
0.88,-0.26,76.27,23.73
4.17,0.43,76.29,23.71
2.1,3.08,76.32,23.68
1.03,0.39,76.32,23.68
3.07,1.44,76.34,23.66
0,0.83,76.36,23.64
2.91,1.93,76.41,23.59
4.7,0.51,76.52,23.48
1.46,0.24,76.61,23.39
1.97,0.2,76.62,23.38
5.67,2.55,76.63,23.37
0,0.7,76.64,23.36
2.89,0.73,76.71,23.29
0,-1.26,76.76,23.24
0,-0.24,76.8,23.2
4.4,2.49,76.81,23.19
2.31,2.27,76.83,23.17
3.13,2.23,76.85,23.15
1.76,-0.18,76.94,23.06
3.52,6.78,76.98,23.02
4.99,1.7,77.12,22.88
2.53,0.32,77.12,22.88
2.66,5.22,77.14,22.86
0,-1.06,77.15,22.85
2,0.75,77.2,22.8
4.77,0.64,77.25,22.75
2.82,11.13,77.26,22.74
0,-0.31,77.27,22.73
4.66,2.1,77.28,22.72
4.2,0.53,77.3,22.7
2.07,-1.04,77.3,22.7
3.72,6.43,77.38,22.62
0.84,1.21,77.44,22.56
0,-0.81,77.45,22.55
3.53,1.02,77.47,22.53
0,-0.39,77.47,22.53
2.08,4.03,77.48,22.52
3.48,4.04,77.49,22.51
2.45,1.86,77.49,22.51
3.09,0.81,77.5,22.5
1.79,20.45,77.56,22.44
4.62,1.13,77.57,22.43
3.85,0.66,77.59,22.41
3.48,2.67,77.63,22.37
0.93,2.64,77.63,22.37
2.63,-0.12,77.64,22.36
0,0.51,77.7,22.3
3.91,8.08,77.72,22.28
0,0.1,77.76,22.24
5.04,2.35,77.77,22.23
