yield,debt,total,roa,class
0,49.25,0.62,-3.5,1
0,49.24,-4.17,-5.58,1
3.37,49.23,14.18,4.73,3
5.06,49.23,5.25,8.25,4
3.3,49.21,-1.42,3.59,3
3.13,49.2,56.11,9.1,3
0,49.18,25.17,-12.19,1
4.61,49.18,-9.96,1.17,3
6.35,49.16,1.45,5.17,4
1.61,49.15,10.19,10.55,2
6.33,49.14,3.19,4.98,4
2.95,49.13,-19.25,5.57,2
4.46,49.12,4.33,10.28,3
2.51,49.08,4.53,5.26,2
5.09,49.03,11.8,6.93,4
0,49.02,-16.95,-12.08,1
1.78,48.98,-1.66,3.39,2
0,48.96,-13.18,-9.79,1
1.69,48.94,92.8,1.25,2
0,48.89,0.06,1.74,1
0,48.88,62.4,-7.1,1
6.96,48.86,-1.46,15.98,4
1.95,48.82,-4.89,3.81,2
2.84,48.82,-1.8,-1.72,2
2.23,48.78,5.46,3.13,2
5.21,48.78,0.03,6.48,4
5.29,48.75,-6.67,3.03,4
2.76,48.7,3.53,3.84,2
2.69,48.64,18.01,7.93,2
0,48.61,3.46,-15.01,1
5.12,48.56,0.47,8.22,4
1.44,48.54,56.57,8.02,2
0,48.52,-3.94,-19.15,1
6.18,48.45,-6.14,4.07,4
2.46,48.43,-0.24,2.54,2
3.03,48.42,3.94,5.01,3
4.52,48.4,43.82,20.78,3
5.08,48.38,-6.63,9.54,4
1.8,48.32,-5.61,2.31,2
0.68,48.29,-18.34,0.89,1
2.97,48.26,36.6,8.09,2
4.81,48.25,6.05,9.76,3
4.71,48.24,15.65,12.88,3
0,48.23,-2.05,0.22,1
6.04,48.21,1.12,9.52,4
2.37,48.18,12.19,4.95,2
4.51,48.18,3.17,6.5,3
3.79,48.17,-11.66,2.95,3
2.31,48.15,3.37,2.75,2
0,48.14,-11.94,-7.75,1
1.99,48.13,1.89,6.97,2
3.4,48.11,-1.58,7.97,3
3.88,48.11,-0.49,-0.29,3
1.08,48.09,1.23,2.36,2
0,48.02,11.03,-10.61,1
0,48,13.88,0.84,1
0,47.92,-10.46,-10.87,1
0,47.92,-1.32,-2.7,1
0,47.9,-9.38,-3.14,1
4.73,47.9,-1.54,10.54,3
3.72,47.83,-10.96,4.38,3
4.2,47.83,26.77,10.39,3
7.21,47.82,-4.31,4.87,5
0,47.81,37.5,26.91,1
1.81,47.77,-7.96,1.79,2
2.9,47.72,0.63,6.63,2
1.49,47.7,-4.72,3.86,2
2.47,47.7,4.27,5.34,2
5.17,47.7,2,8.35,4
0,47.66,-5.64,-9.74,1
3.08,47.65,0.41,3.43,3
0,47.63,-1.42,-2.65,1
3.17,47.62,-1.7,4.1,3
0,47.47,-3.36,-1.47,1
1.71,47.46,11.74,13.64,2
4.05,47.41,-2.96,3.12,3
2.74,47.38,0.78,6.45,2
2.77,47.38,0.8,2.44,2
3.57,47.37,7.39,9.24,3
0,47.36,5.05,0.12,1
0,47.34,3.6,-0.68,1
2.11,47.29,-13.87,5.77,2
2.2,47.29,-8.16,4.67,2
7.11,47.28,-1.74,4.31,5
3.3,47.27,5.61,7.28,3
4.35,47.26,21.05,12.01,3
4.1,47.23,-0.14,7.1,3
1.54,47.18,1.38,0.99,2
0,47.16,-0.93,-8.49,1
0,47.15,-43.64,-71.02,1
0,47.13,-3.1,-27.25,1
2.62,47.07,4.93,7,2
6.77,47.06,-0.37,7.19,4
2.36,47.03,20.18,7.5,2
2.05,46.97,7.48,8.65,2
2.57,46.95,4.1,5.86,2
2.61,46.9,-1.69,3.4,2
1.7,46.89,2.88,6.34,2
0,46.87,-0.93,-16.13,1
2.43,46.87,0.92,2.28,2
0,46.85,0.2,0.41,1
0,46.84,9.9,-10.81,1
1.93,46.78,7.35,7.81,2
2.16,46.76,-6.8,1.83,2
2.57,46.76,0.7,2.03,2
2.81,46.74,-9.03,0.06,2
0,46.73,-18.4,-4.43,1
6.72,46.63,14.31,21.06,4
1.3,46.61,60.23,7.37,2
3.12,46.6,21.11,20.5,3
3.25,46.6,-3.45,5.18,3
4.46,46.6,6.3,8.56,3
1.39,46.57,-9.77,0.32,2
0,46.56,9.6,-4.22,1
3.18,46.56,-3.25,2.83,3
2.08,46.55,-2.14,5.62,2
5.05,46.55,-10.33,4.96,4
2.51,46.53,15.78,3.18,2
0,46.52,-6.48,-10.64,1
5.68,46.51,5.22,16.5,4
5.85,46.51,-1.76,7.55,4
0,46.49,6.3,-0.01,1
2.84,46.45,55.4,4.43,2
0,46.42,5.21,20.18,1
5.73,46.38,5.14,10.88,4
0,46.32,-39.78,-7.72,1
0,46.3,-11.16,-25.86,1
6.13,46.28,-0.45,9.11,4
10.39,46.2,89.06,15.91,6
2.2,46.19,-10.1,1.01,2
0,46.17,-11.07,-10.38,1
0,46.16,-15.45,-4.39,1
4.26,46.16,2.71,3.76,3
7.26,46.12,9.5,17.22,5
5.52,46.11,13.56,10.24,4
7.7,46.11,10.62,7.33,5
0,46.07,-0.66,-12.38,1
8.18,46.07,6.75,12.89,5
0,46.06,-20.57,-29.31,1
1.91,46.05,1.94,1.84,2
3.47,46.05,1.89,8.65,3
3.11,46.02,-1.01,1.75,3
1.28,46.01,10.08,7.76,2
0,46,-3.03,-1.49,1
2.55,45.99,54.88,5,2
0,45.94,3.25,-0.53,1
5.93,45.92,-12.91,5.24,4
0,45.91,-16.08,-4.57,1
2.86,45.91,1.87,1.61,2
0,45.87,2.3,2.43,1
0,45.85,-4.07,-1.61,1
3.77,45.85,-0.6,9.78,3
6.89,45.81,-1.11,3.36,4
0.82,45.76,12.38,1.47,1
7.16,45.76,-7.11,6.13,5
0,45.73,2.09,-6.49,1
0,45.72,-12.31,-1.19,1
4.24,45.67,-7.03,2.96,3
0.88,45.65,4.88,1.9,1
5.3,45.64,1.07,5.35,4
5.33,45.58,1.29,10.74,4
0,45.56,-16.44,-22.36,1
1.81,45.56,7.4,10.32,2
12.48,45.56,1.27,14.64,6
6.03,45.52,27.76,3.03,4
5.17,45.51,19.56,8.7,4
2.94,45.5,4.75,4.81,2
0.53,45.46,11.49,0.87,1
5.24,45.38,-14.93,13.34,4
2.03,45.33,33.23,8.9,2
5.02,45.33,10.81,4.44,4
1.36,45.27,9.38,14.01,2
6.7,45.27,-0.47,3.32,4
4.48,45.25,-30.76,3.6,3
0.64,45.24,12.17,4.19,1
2.32,45.24,3.87,4.73,2
0,45.22,25.81,-1.62,1
2.42,45.22,-5.99,1.54,2
1.5,45.2,-1.53,4.21,2
0.61,45.18,-8.26,-6.34,1
4.42,45.17,-8.32,7.04,3
0.71,45.11,8.18,1.11,1
0,44.99,1.94,-8.33,1
1.7,44.98,10.57,3.34,2
0.68,44.97,8.92,6.62,1
1.17,44.97,-0.41,0.17,2
2.18,44.97,-1.16,4.65,2
0,44.93,-0.45,-2.95,1
3.66,44.93,7.91,6.45,3
2.3,44.92,3.85,6.39,2
2.91,44.91,-3.43,6.95,2
1.13,44.89,2.96,2.51,2
3.03,44.88,-7.74,4.16,3
2.55,44.75,-2.32,1.96,2
5.94,44.73,2.94,8.56,4
1.11,44.72,7.77,5.24,2
3,44.67,4.39,3.44,2
0.6,44.66,-0.92,0.02,1
2.18,44.65,-3.75,0,2
5.12,44.65,9.74,10.68,4
6.75,44.64,-2.05,8.79,4
7.05,44.62,14.76,9.44,5
2.65,44.57,4.23,8.3,2
2.78,44.54,-6.48,2.06,2
0.72,44.5,2.55,-0.69,1
4.35,44.45,6.48,10.08,3
0.74,44.44,64.44,12.65,1
0,44.35,5.92,-1.45,1
0.7,44.35,-12.16,4.26,1
1.97,44.35,1.55,1.73,2
0,44.32,-0.46,-1.16,1
0,44.3,14.52,-1.54,1
3.66,44.3,26.08,3.58,3
0,44.29,-10.56,-1.67,1
3.46,44.29,-15.2,8.75,3
0,44.27,-2.77,-0.81,1
7.28,44.27,-7.21,6.79,5
2.69,44.25,17.83,14.09,2
2.19,44.21,2.09,4.55,2
4.11,44.2,5.49,8.97,3
4.94,44.14,3.59,9.57,3
2.57,44.05,2.22,4.14,2
1.87,44.04,15.3,6.75,2
3.82,44.04,4.98,2.22,3
1.79,44.01,16.19,12.37,2
2.68,43.99,-12.29,2.39,2
4.91,43.99,14.27,6.39,3
0,43.98,-10.2,-5.13,1
2.98,43.98,10.82,4.56,2
0,43.97,5.2,-19.67,1
0,43.95,-2.74,-1.04,1
5.63,43.91,3.82,13.67,4
3.55,43.88,2.42,8.55,3
0,43.85,-5.68,-5.01,1
3.24,43.84,-3.55,1.71,3
3.09,43.83,0.02,6.08,3
0,43.82,-10.25,-5.9,1
2.6,43.81,3.42,6.8,2
1.39,43.78,0.05,2.08,2
5.15,43.78,-4.77,4.39,4
3.41,43.73,2.31,7.38,3
0,43.7,-35.27,-39.9,1
3.02,43.69,10.98,7.93,3
4.15,43.68,5.67,7.86,3
3.02,43.66,2.92,3.92,3
7.52,43.66,-7.25,7.94,5
3.98,43.64,15.9,2,3
3.45,43.61,-5.41,3.17,3
2.33,43.59,-9.56,7.56,2
6.14,43.58,0.38,7.17,4
4.78,43.54,30.34,6.24,3
6.33,43.53,-3.86,5.16,4
0,43.51,-6.95,-7.21,1
0.77,43.51,-12.24,0.6,1
3.29,43.47,-10.33,4.85,3
4.91,43.47,11.99,19.63,3
2.79,43.44,2.77,3.76,2
0,43.4,-11.01,-6.88,1
4.42,43.39,3.39,7.85,3
3.21,43.37,5.3,6.08,3
1.29,43.36,13.43,4.93,2
2.19,43.36,-8.26,22.52,2
1.04,43.34,-0.51,-1.17,2
0,43.3,-4.26,0.24,1
0,43.29,-6.54,-6.58,1
2.55,43.25,-7.59,10.16,2
2.89,43.25,3.35,8.55,2
4.46,43.24,39.01,18.27,3
0,43.18,2.27,-7.57,1
4.62,43.18,-12.22,2.73,3
4.51,43.16,10.43,9.86,3
2.4,43.14,2.49,5.93,2
0,43.13,-4.89,0.08,1
0,43.12,-4.16,-4.79,1
0,43.11,-6.24,-2.45,1
1.89,43.1,18.39,4.98,2
0.37,43.05,3.99,1.39,1
3.77,43.05,2.46,2.86,3
3.25,43.03,7.72,3.46,3
5.07,43.02,3.85,4.17,4
2.51,43.01,-5.45,5.78,2
3.94,42.99,6.28,11.94,3
1.17,42.97,1.11,-1.28,2
3.46,42.95,5.34,5.5,3
3.85,42.95,-0.26,6.93,3
2.79,42.93,7.87,5.54,2
6.05,42.92,-0.67,10.53,4
5.14,42.89,10.55,20.06,4
2.4,42.79,14.22,6.74,2
5.8,42.79,1.5,5.02,4
3.26,42.78,3.47,10.41,3
3.17,42.77,4.68,2,3
7.86,42.73,15.39,9.22,5
0.87,42.69,-14.13,1.73,1
3.06,42.59,0.22,3.87,3
0,42.58,-9.43,-2.44,1
2.33,42.58,-8.03,0.78,2
0,42.56,-5.32,-7.87,1
2.25,42.56,1.79,5.45,2
0.14,42.5,15.17,5.04,1
3.8,42.49,-9.58,6.77,3
0,42.47,1.09,-39.54,1
2.22,42.46,3.23,4.91,2
3.97,42.45,7.55,11.69,3
6.01,42.44,-1.38,7.99,4
1.86,42.42,-2.43,1.86,2
1.57,42.38,6.39,2.07,2
2.87,42.37,-15.39,2.74,2
3.25,42.37,18.44,6.87,3
0,42.36,5.23,1.64,1
4.44,42.32,14.22,7.76,3
6.77,42.28,-8.79,6.51,4
1.53,42.25,22.09,3,2
6.04,42.25,-11.42,8.36,4
0.61,42.21,-3.23,1.24,1
5.37,42.18,2.62,10.68,4
1.94,42.17,-12.17,0.74,2
2.12,42.15,-10.31,2.15,2
1.5,42.14,-8.01,3.25,2
2.75,42.07,3.49,2.57,2
2.85,42.02,3.69,4.82,2
2.05,41.93,0.33,2.17,2
3.35,41.93,12.83,11.03,3
0,41.89,-16.31,-3.88,1
1.05,41.86,-2.52,1.61,2
4.74,41.8,2.31,4.87,3
0.68,41.79,-7.15,-3.1,1
1.77,41.76,-0.01,1.21,2
1.84,41.73,4.62,4.79,2
3.65,41.73,5.3,5.36,3
0,41.6,-17.05,-11.77,1
5.14,41.59,5.22,4.57,4
6.23,41.59,17.53,13.82,4
5.36,41.52,7.69,12.33,4
3.75,41.48,12.56,2.64,3
0,41.45,-16.84,-17.34,1
1.37,41.45,-2.82,1.28,2
0,41.4,-14.58,-15.71,1
2.29,41.4,-6.04,6.06,2
0.32,41.37,-1.91,-0.48,1
1.24,41.31,10.04,6.46,2
4.93,41.31,8.4,10.03,3
4.98,41.31,-0.87,7.05,3
0.28,41.24,32.58,22.64,1
0,41.21,-26.01,-12.47,1
0,41.13,-1.24,-1.29,1
2.92,41.09,-6.39,1.16,2
3.82,41.09,-1.89,2.04,3
0,41.08,-1.49,1.06,1
4.43,41.08,-5.44,5.49,3
0,41.07,2.65,-3.16,1
5.42,41.07,4.38,13.51,4
5.74,41.07,-1.05,5.27,4
2.88,41.05,-3.53,2.5,2
0,40.98,4.06,-1.31,1
2.72,40.95,-6.26,4.95,2
1.34,40.93,4.58,2.38,2
1.65,40.89,59.33,6.74,2
1.25,40.87,-1.41,3.11,2
3.91,40.87,-2.04,3.67,3
0,40.83,-2.18,-26.3,1
3.59,40.81,2.57,4.74,3
4.18,40.8,9.93,8.65,3
3.27,40.79,0.08,7.99,3
2.13,40.77,-2,4.11,2
1.22,40.74,-2.45,2.37,2
5.61,40.65,10.01,7.36,4
1.56,40.6,14.14,3.42,2
3.48,40.6,4.49,9.61,3
5.35,40.6,-2.36,4.26,4
6.04,40.56,7.2,15.03,4
3.43,40.51,-5.45,2.69,3
5.75,40.51,3.2,13.02,4
0.82,40.5,-9.86,3.06,1
1.13,40.49,2.42,7.36,2
5.58,40.49,1.5,4.08,4
5.87,40.48,0.91,5.28,4
3.39,40.46,-0.02,4.69,3
0.18,40.45,-7.53,-0.32,1
0,40.43,14.56,-11.3,1
0,40.43,6.07,9.52,1
4.8,40.4,4.72,4.86,3
3.19,40.37,-1.74,3.26,3
4.56,40.37,78.32,23.35,3
1.61,40.32,-3.64,-1.24,2
1.1,40.24,-0.66,-0.06,2
4.76,40.22,26.27,7.65,3
1.34,40.21,11.92,2.75,2
2.62,40.18,19.49,11.19,2
5.7,40.18,15.72,14.56,4
0,40.15,-87.45,-153.31,1
5.72,40.1,-1.63,10.21,4
0,40.07,-17.05,-2.7,1
5.8,40.07,3.93,4.55,4
0,40.06,3.95,3.03,1
1.75,40.05,2.96,4.53,2
3.84,40.05,8.62,8.64,3
3.44,40.04,-2.65,2.78,3
0,39.98,-2.75,-9.2,1
0,39.96,-14.14,-1.37,1
4.4,39.94,-11.52,-0.28,3
2.38,39.92,7.14,11.19,2
4.24,39.88,-1.99,9.11,3
1.24,39.84,-6.83,0.63,2
1.96,39.79,6.94,-0.39,2
6.32,39.79,7.73,14.43,4
3.18,39.71,11.15,6.18,3
4.55,39.69,-7.32,13.04,3
0,39.66,6.78,1.49,1
4.86,39.64,9.69,7.19,3
5.27,39.61,-8.1,6.51,4
2.65,39.57,-14.17,1.17,2
4.39,39.55,-15.65,8.33,3
1.74,39.54,2.17,1.51,2
4.05,39.44,2.24,9.67,3
2.26,39.4,-6.03,0.45,2
1.15,39.38,-6.27,-7.15,2
0,39.34,-8.91,-8.51,1
5.34,39.34,7.03,11.17,4
3.64,39.3,3.54,2.19,3
6.04,39.29,-0.01,8.32,4
0,39.28,17.31,-7.76,1
2.96,39.27,-0.02,4.82,2
4.45,39.26,-2.95,4.29,3
3.64,39.24,-0.38,5.89,3
5.85,39.24,0.86,7.63,4
3.33,39.2,-6.59,2.54,3
0,39.17,-15.69,-0.5,1
0,39.16,-0.3,16.7,1
0,39.08,3.67,-8.2,1
5.38,39.03,7.99,13.91,4
2.19,39.02,-3.69,7.03,2
2.2,38.95,8.97,12.13,2
2.7,38.89,-6.48,3.71,2
0,38.83,12.27,-2.36,1
1.86,38.81,-6.68,0.34,2
3.1,38.78,-2.01,3.12,3
9.52,38.78,5.13,13.65,6
3.41,38.74,-1.83,5.85,3
3.45,38.74,14.1,11.88,3
1.18,38.73,15.45,4.79,2
4.9,38.71,13.07,11.33,3
2.68,38.66,2.23,5.34,2
3.28,38.65,2.71,3.6,3
0,38.64,29.26,-0.93,1
6.5,38.64,-4.89,5.36,4
3.2,38.62,-8.95,6.39,3
4.45,38.61,-13.59,6.15,3
1.31,38.59,-10.44,2.67,2
5.34,38.53,-4.37,-0.24,4
2.62,38.52,0.03,1.58,2
6.68,38.52,20.59,8.23,4
1.25,38.5,6.76,12.26,2
4.75,38.48,-15.35,9.6,3
6.31,38.47,7.45,8.3,4
0.61,38.43,45.46,9.44,1
4.85,38.41,3.89,8.65,3
0,38.4,-10.21,-5.16,1
5.15,38.39,6.13,3.5,4
4.04,38.38,3.53,10.96,3
3.75,38.36,7.58,5.33,3
0,38.35,-10.08,-17.79,1
2.53,38.32,8.82,10.8,2
4.49,38.31,3.24,8.32,3
0,38.28,-12.77,-1.16,1
2.94,38.28,7.05,8.12,2
0,38.27,19.43,1.44,1
4.18,38.23,-12.14,-2.28,3
0,38.22,-6.71,-11.23,1
1.61,38.22,-0.86,2.69,2
2.68,38.21,-2.66,6.69,2
2.61,38.2,-0.47,6.39,2
3.56,38.13,0.21,8.32,3
1.77,38.12,-17.91,-2.59,2
3.95,38.12,17.66,6.99,3
3.06,38.08,1.43,4.08,3
0,37.99,131.52,6.57,1
7.09,37.97,-14.27,8.46,5
2.73,37.95,-8.91,-1.59,2
0,37.94,-7.68,-4.81,1
1.29,37.93,9.16,6.27,2
7.03,37.9,7.46,21.46,5
1.59,37.89,-7.25,-1.17,2
1.95,37.86,-5.17,3.3,2
6.06,37.85,-11.38,11.03,4
2.67,37.84,2.11,3.56,2
4.96,37.83,-6.57,8.14,3
2.39,37.82,5.52,6.08,2
0,37.78,2.41,1.44,1
3.8,37.75,0.91,10.61,3
5.08,37.75,-16.39,2.38,4
3.38,37.73,23.2,20.57,3
0,37.71,5.43,1.47,1
3.94,37.7,6.06,9.49,3
45.05,37.69,62.08,46.42,6
1.96,37.66,33.71,5.28,2
0.46,37.64,2,-3.94,1
0,37.62,-2.69,-0.5,1
3.28,37.6,5.1,5.68,3
0,37.48,0.6,-0.93,1
7.41,37.46,3.87,7.71,5
5.03,37.45,2.99,12.53,4
3.87,37.42,3.78,8.17,3
6.1,37.38,3.72,12.04,4
1.41,37.37,0.95,2.11,2
0.06,37.35,-3.75,1.61,1
1.41,37.3,11.53,1.36,2
2.58,37.25,0.85,3.28,2
2.46,37.19,-4.89,2.47,2
1.07,37.18,-1.22,3.13,2
2.47,37.16,-6.44,1.68,2
0,37.13,-11.98,-0.36,1
3.17,37.13,-12.15,3.16,3
0,37.1,-7.12,12.91,1
3.67,37.09,-3.97,5.56,3
5.29,37.07,2,4.97,4
2.19,37.04,11.43,15.79,2
0.98,37.03,100.82,5.03,1
2.73,37.03,-7.13,-4.94,2
1.55,36.96,-2.04,3.23,2
1.13,36.94,-24.79,1.87,2
0,36.93,-32.42,-53.94,1
0,36.93,3.78,-2.71,1
4.56,36.92,-5.18,8.07,3
0,36.87,-17.08,-18.07,1
1.11,36.87,-10.77,4.4,2
3.57,36.87,-6.33,6,3
4.75,36.87,-8.54,12.24,3
7.46,36.82,4.1,9.22,5
3.85,36.81,14.54,10.96,3
0,36.8,25.48,-13.5,1
1.47,36.77,1.81,11.95,2
4.35,36.76,5.88,6.09,3
5.3,36.73,-3.08,12.74,4
1.04,36.72,22.76,5.12,2
0,36.68,-6.04,-5.55,1
5.58,36.67,9.71,12.33,4
2.69,36.66,-3.07,5.27,2
8.16,36.66,-1.53,7.29,5
0,36.64,1.61,-1.23,1
3.39,36.64,11.19,6.67,3
4.62,36.64,-4.82,5.04,3
1.37,36.61,6.71,4.51,2
5.65,36.61,4.42,10.2,4
3.15,36.6,15.5,7.99,3
1.81,36.57,-1.89,-0.9,2
0,36.56,-9.21,-9.05,1
2,36.53,-9.99,2.88,2
0,36.51,-8.02,-10.28,1
1.1,36.51,7.41,2.79,2
0,36.48,-15.26,-5.96,1
4.96,36.42,9.34,7.15,3
3.29,36.39,5.26,3.72,3
1.81,36.36,-13.4,2.91,2
0,36.31,-2.09,-0.67,1
3.14,36.27,-0.54,3.33,3
3.93,36.27,3.22,19.49,3
2.31,36.19,-6.38,5.93,2
5.98,36.19,-1.29,6.53,4
1.71,36.15,-16.88,3.38,2
7.08,36.15,7.49,10.86,5
5.2,36.14,0.42,9.09,4
2.73,36.13,-16.57,3.75,2
0,36.04,47.66,12.99,1
4.79,36.04,-11.14,12.8,3
2.63,36.03,28.33,8.52,2
3.4,36.01,-2.78,2.49,3
0,35.99,105.69,-20.27,1
0,35.98,-6.83,-5.46,1
6.93,35.98,-5.42,10.66,4
4.63,35.97,1.83,16.28,3
0.97,35.95,-6.85,-6.47,1
0,35.93,0.48,-11.92,1
5.77,35.88,-16.4,6.15,4
2.6,35.86,0.2,3.2,2
1.01,35.84,-12.25,-0.76,2
0,35.81,-8.21,1.27,1
1.77,35.81,-4.72,-2.72,2
4.36,35.78,-1.28,2.79,3
2.34,35.76,0.83,6.09,2
2.39,35.74,-4.26,5,2
5.7,35.7,4.9,12.43,4
6.77,35.68,22.39,17.88,4
2.92,35.67,-13.36,8.73,2
7.02,35.67,-17.54,4.85,5
6.19,35.64,3.87,23.57,4
2.48,35.61,5.12,9.4,2
0,35.41,-5.66,-4.27,1
5.17,35.38,2.42,7.56,4
1.04,35.34,-0.27,2.2,2
1.39,35.22,13.31,5.3,2
5.65,35.2,-1.39,6.17,4
6.86,35.16,7.22,7.31,4
0,35.14,-18.67,-6.49,1
0,35.09,-15.33,-16.6,1
2.95,35.01,-4.06,4.47,2
2.6,34.99,-5.58,-1.13,2
2.37,34.97,-1.42,3.8,2
4.85,34.97,-0.28,4.78,3
4.99,34.93,16.29,14.17,3
0,34.92,3,-4.92,1
2.7,34.9,56.19,9.46,2
0,34.88,-5.96,-11.48,1
0,34.88,8.12,-25.48,1
0,34.86,84.57,6.45,1
3.61,34.86,13.16,14.6,3
2.53,34.84,13.87,21.9,2
0,34.81,38.7,1,1
0.86,34.8,9.75,3.72,1
0,34.79,9.67,-3.44,1
2.56,34.77,33.7,7.16,2
6.54,34.73,-4.68,10.71,4
7.34,34.73,-13.45,4.21,5
2.9,34.72,-1.91,0.72,2
4.66,34.7,-1.54,6.89,3
0.83,34.66,-4.61,-1.58,1
5.08,34.66,-5.99,6.63,4
0.15,34.65,5.02,0.56,1
2.94,34.63,-4.43,-1.46,2
0,34.61,-28.35,-13.78,1
1.26,34.55,3.81,3.15,2
3.57,34.53,8.1,13.49,3
7.17,34.53,7.85,9.24,5
3.27,34.48,11.66,4.83,3
1.69,34.43,-0.45,2.6,2
0.71,34.4,-14.2,-0.77,1
6.52,34.4,19.08,17.24,4
6.55,34.4,20.24,14.92,4
2.08,34.38,3.33,9,2
5.44,34.37,-21.83,10.49,4
0,34.34,4.17,-1.7,1
4.33,34.26,-0.81,6.74,3
2.71,34.21,18.52,8.77,2
3.08,34.18,5.21,15.39,3
4.65,34.18,3.1,10.94,3
2.5,34.13,8.29,5.54,2
0,34.12,15.49,18.31,1
4.35,34.11,2.86,11.56,3
0,34.1,12.4,-11.77,1
0,34.1,-5.05,-4.87,1
4.24,34.1,-0.33,5.73,3
4.32,34.1,-4.54,2.68,3
0,33.95,96.69,-25.63,1
0.36,33.95,-1.65,1.4,1
4,33.95,35.44,30.21,3
5.39,33.95,20.4,31.28,4
4.96,33.94,5.11,8.64,3
12.77,33.93,10.06,89.22,6
2.79,33.91,2.4,5.74,2
5.81,33.91,-12.84,7.15,4
4.17,33.79,2.93,2.41,3
0.67,33.78,-9.22,4.11,1
3.73,33.78,-19.01,5.78,3
10.44,33.76,-1.39,12.16,6
0,33.72,-19.97,-1.81,1
0.81,33.69,6.13,11.32,1
0.89,33.63,7.51,9.29,1
0,33.46,68.22,0.02,1
0,33.45,-18.08,-14.57,1
2.28,33.45,14.33,14.6,2
5.13,33.45,-0.89,5.67,4
3.4,33.43,-16.51,8.06,3
3.78,33.42,102.6,3.54,3
0,33.4,-12.21,0.95,1
4.35,33.4,-16.94,-9.03,3
0,33.36,-23.15,-11.55,1
5.15,33.25,-6.66,4.21,4
5.58,33.21,1.25,7.61,4
4.33,33.15,4.72,9.69,3
0,33.14,42.75,-65.47,1
1.93,33.13,1.11,7.32,2
5.85,33.13,0.19,8.31,4
7.14,33.13,-15.6,10.81,5
5.81,32.98,-10.85,3.42,4
1.37,32.95,3.76,9.17,2
0,32.9,-19.39,-9.63,1
0.77,32.9,-1.76,0.71,1
1.73,32.89,-0.75,13.6,2
6.3,32.87,-27.49,12.98,4
1.11,32.86,28.86,4.71,2
3.85,32.86,0.96,5.09,3
3.79,32.85,3.28,2.86,3
5.66,32.85,-12.63,4.33,4
1.92,32.84,-6.48,2.27,2
0,32.79,-4.45,-2.69,1
0,32.77,-6.72,-6.31,1
3.1,32.75,-1.03,11.87,3
3.76,32.7,14.81,10.72,3
3.9,32.67,1.34,8.24,3
3.08,32.62,-4.16,3.6,3
0,32.57,-5.82,-4.37,1
0,32.55,-17.11,-11.41,1
1.97,32.55,7.53,3.49,2
0,32.52,1.43,-0.75,1
0,32.49,1.26,-14.95,1
1.52,32.48,2.78,10.01,2
0,32.47,-0.41,-23.17,1
4.13,32.47,3.15,11.48,3
0,32.43,16.24,-3.47,1
0,32.42,2.76,0.18,1
5.12,32.4,-11.31,7.97,4
2.69,32.37,-1.09,9.8,2
0,32.33,-9.16,0.05,1
0,32.28,-3.47,0,1
0.74,32.27,-6.01,1.87,1
5.35,32.23,-3.54,7.86,4
5.65,32.22,7.31,13.92,4
1.01,32.2,12.17,0.72,2
5.23,32.2,-0.1,7.52,4
0,32.19,-6.61,-2.88,1
2.01,32.19,1.86,3.22,2
2.42,32.16,65.43,6.92,2
4.63,32.12,10.64,16.14,3
6.19,32.11,5.02,18.77,4
4.7,32.1,0.56,3.01,3
2.19,31.99,-13.84,7.64,2
1.06,31.97,18.35,2.41,2
4.1,31.94,4.97,5.79,3
0.53,31.93,-5.83,1.28,1
1.26,31.89,-34.2,-1.66,2
4.4,31.88,12.97,12.05,3
0,31.86,-1.48,-2.63,1
5.45,31.86,7.12,7.63,4
3.43,31.85,8.26,5.15,3
0,31.8,-11.85,-7.38,1
5.68,31.79,-0.58,2.16,4
0,31.77,-17.16,-17.7,1
2.02,31.77,-16.48,0.93,2
1.06,31.73,-1.35,3.84,2
2.87,31.73,-8.89,4.22,2
2.63,31.66,9.52,-4.54,2
4.1,31.55,21.56,16.34,3
2.06,31.5,13.94,6.49,2
5.25,31.46,2.03,9.53,4
4.29,31.45,20.42,14.13,3
4.14,31.41,-4.19,0.46,3
4.59,31.39,-8.02,1.7,3
3.29,31.38,1.15,8.92,3
4.43,31.38,39.12,13.09,3
3.21,31.35,-7.89,3.78,3
6.12,31.32,-3.7,9.73,4
0,31.31,-7.63,3.71,1
5.41,31.31,21.7,16.63,4
1.5,31.28,-8.13,3.12,2
3.73,31.26,1.57,7.6,3
4.95,31.25,-2.87,7.19,3
1.32,31.23,4.51,0.32,2
0,31.15,-7.08,-2.86,1
0,31.15,-4.66,-4.71,1
0.94,31.15,14.18,8.72,1
3.13,31.15,2.1,5.73,3
0,31.14,-36.75,-15.1,1
0,31.14,-12.82,-0.38,1
5.01,31.11,-2.28,4.93,4
3.71,31.06,41.69,24.06,3
5,31.05,-9.05,8.01,3
3.71,31,-7.14,7.7,3
4.33,30.99,4.25,3.85,3
5.02,30.99,8.87,16.99,4
2.66,30.98,8.69,7.42,2
3.75,30.97,-1.91,3.66,3
4.09,30.96,3.12,10.29,3
5.01,30.94,14.21,13.52,4
3.47,30.93,4.7,3.2,3
6.01,30.92,4.57,9.04,4
0,30.82,-18.33,-4.68,1
2.92,30.79,3.71,2.25,2
3.1,30.78,-0.78,8.73,3
1.27,30.77,4.96,0.02,2
