no,EPS,debt,roa,asset,class
8234,-0.14,48.79,0.17,0.69,3
3543,-0.23,31.52,1.23,0.69,3
6651,1.92,41.19,3.48,0.64,4
2459,1.44,39.3,2.97,0.56,4
3402,1.42,73.28,1.8,0.81,4
1472,1.13,50.07,1.66,0.82,4
4563,0.87,62.05,2.42,0.71,4
6195,0.82,65.18,1.33,0.68,4
OTC20,0.54,52.06,1.1,0.65,4
6570,0.53,38.34,2.31,0.72,4
2027,0.47,42.93,3.05,0.68,4
4153,0.42,23.85,2.03,0.7,4
1717,0.38,56.74,2.97,0.68,4
5457,0.25,57.36,1.82,0.69,4
3581,0.04,50.34,0.87,0.66,4
2380,0.03,66.62,0.6,1.31,4
8489,-0.24,58.04,0.16,0.72,3
1599,-0.49,34.01,-1.72,0.65,3
9939,2.61,59.23,3.63,0.67,4
3546,1.75,31.5,3.72,0.71,4
6768,1.73,31.85,3.56,0.78,4
4581,1.22,37.28,3.4,0.63,4
4995,1.01,51.29,2.55,0.68,4
6277,0.93,32.77,1.63,0.67,4
3556,0.9,23.46,3.8,0.73,4
6509,0.83,42.06,2.99,0.77,4
3317,0.63,16.59,1.43,0.6,4
4952,0.56,24.31,2.52,0.77,4
5371,0.37,54.27,1.87,0.65,4
M1600,0.31,43.99,2.01,0.62,4
1735,0.3,53.89,1.39,0.75,4
6288,0.24,56.34,1.14,0.83,4
6443,0.04,34.77,0.19,0.39,4
3465,-0.09,53.6,0.88,0.71,3
3623,-0.16,24.59,-0.12,0.56,3
1466,-0.17,57.69,-0.51,0.7,3
3205,-0.29,18.37,-3.3,0.73,3
6485,-0.86,19.95,-1.64,0.44,3
2454,19.85,42.09,7.6,0.83,6
6515,5.81,37.55,4.01,0.84,5
6223,4.18,34.69,4.69,0.65,4
6176,4.18,38.91,4.18,0.71,4
1319,1.98,24.64,3.82,0.69,4
1707,1.74,22.78,2.64,0.6,4
1773,1.6,36.77,2.88,0.73,4
2493,1.43,46.29,3.46,0.7,4
8349,1.21,67.48,1.83,0.65,4
8435,0.99,29.22,3.63,0.64,4
2947,0.98,74.41,0.64,0.7,4
1474,0.62,42.47,2.84,0.79,4
5450,0.31,49.72,1.61,0.7,4
1733,0.29,26.42,1.31,0.78,4
8272,0.28,26.41,0.8,0.45,4
1776,0.24,39.58,1.75,0.67,4
6574,0.17,31.3,0.71,0.59,4
2461,0.1,50.02,0.5,0.71,4
4745,0.07,24.09,2.24,0.62,4
2464,0.06,63.07,0.83,0.49,4
6134,-0.2,40.47,0.92,0.79,3
1528,-0.27,56.51,-0.81,0.55,3
8040,-0.77,25.19,-6.18,0.65,3
3533,18.57,21.57,6.65,0.64,6
M2328,1.52,47.22,2.67,0.63,4
3545,0.54,49.72,1.37,0.76,4
4532,0.5,58.01,2.78,0.78,4
7402,0.43,15.67,1.85,0.63,4
4127,0.17,23.75,1.15,0.72,4
6593,0.03,29.07,0.02,0.69,4
8488,-0.2,54.16,1.46,0.63,3
3011,-0.3,41.53,-0.08,0.53,3
1304,-0.37,36.4,-0.19,0.65,3
5383,-0.49,62.43,-1.21,0.62,3
6862,3.31,40.19,6.26,0.76,4
3130,2.72,50.58,2.57,0.64,4
6953,1.87,64.3,2.75,0.71,4
3416,1.7,36.37,3.48,0.66,4
2393,1.67,27.83,3.47,0.73,4
9914,1.39,42.53,3.07,0.6,4
6643,1.22,20.99,1.85,0.58,4
6525,1.21,37.28,4.1,0.68,4
3484,0.89,40.19,3.63,0.72,4
6752,0.82,58.3,1.02,0.6,4
7704,0.74,18.72,2.27,0.64,4
3444,0.7,28.79,1.31,0.67,4
4552,0.25,20.28,1.93,0.38,4
2012,0.23,59.8,1.12,0.66,4
3605,0.02,57.53,0.93,0.62,4
6282,-0.1,53.65,0.41,0.58,3
4735,-0.15,34.65,-0.51,0.6,3
2369,-0.25,27.98,-1.2,0.69,3
8201,-0.32,22.37,-2.38,0.6,3
9912,-0.34,42.48,-2.18,0.63,3
3413,5.52,40.64,3.3,0.67,5
4771,3.42,37.46,4.33,0.61,4
3587,2.11,44.95,2.63,0.64,4
M2900,1.27,62.24,2.07,0.65,4
6546,0.98,42.82,2.12,0.67,4
1808,0.75,73.42,0.76,0.12,4
8147,0.72,29.63,2.67,0.75,4
2105,0.68,41.68,2.39,0.67,4
2367,0.41,55.08,2.21,0.75,4
4706,0.38,8.49,2.22,0.76,4
1701,0.36,41.45,0.2,0.71,4
5603,0.35,30.83,1.46,0.57,4
8289,0.32,25.65,2.76,0.72,4
M2000,0.28,48.72,1.4,0.66,4
1598,0.22,56.11,0.98,0.63,4
4924,0.19,54.48,1.92,0.64,4
8443,0.14,52.86,0.6,0.69,4
6108,-0.05,57.59,0.93,0.62,3
1796,-0.2,33.49,-0.67,0.4,3
5521,-0.2,37.2,-1.03,0.7,3
4934,-0.29,25.97,-2.47,0.09,3
6146,3.32,24.14,5.11,0.58,4
2233,2.48,30.39,4.66,0.65,4
4571,2.23,25.89,4.61,0.87,4
1560,1.77,41.91,2.45,0.62,4
2645,1.36,50,2.33,0.63,4
3374,1.2,20.55,3.19,0.57,4
6117,1.15,64.23,3.13,0.78,4
4755,1.1,43.71,1.79,0.58,4
6799,0.97,19.87,2.46,0.55,4
6128,0.88,51.81,2.97,0.66,4
O2328,0.54,43.47,2.26,0.61,4
9935,0.5,67.05,2.27,0.65,4
9950,0.46,67.98,1.8,0.59,4
6294,0.36,68.15,0.56,0.61,4
6179,0.14,56.45,0.94,0.49,4
3511,-0.59,19.95,-2.17,0.55,3
4927,-1.5,63.48,-2.49,0.63,3
6279,3.32,45.56,3.74,0.64,4
4961,3.17,16.15,2.38,0.59,4
6192,2.62,44.53,2.68,0.65,4
6914,2.06,72.48,1.66,0.6,4
9917,1.4,49.28,2.39,0.64,4
1307,1.04,45.01,4.39,0.65,4
4129,0.98,40.28,1.8,0.65,4
8930,0.9,39.25,3.24,0.66,4
6183,0.73,34.57,3.23,0.59,4
4588,0.62,57.15,1.32,0.49,4
3015,0.61,27.77,2.54,0.53,4
4545,0.6,38.37,2.11,0.69,4
2427,0.53,53.93,1.66,0.89,4
8213,0.41,46.15,1.71,0.56,4
2239,0.32,53.97,1.17,0.55,4
2073,0.2,44.59,0.86,0.7,4
1587,0.04,59.49,1.3,0.59,4
1909,0,69.25,0.29,0.6,3
2486,-0.03,43.48,0.4,0.59,3
2485,-0.35,27.41,-1.08,0.46,3
6523,3.6,20.95,8.72,0.75,4
2707,3.33,62.75,4.76,0.65,4
3004,1.92,57.73,2.3,0.63,4
8114,1.46,56.65,2.31,0.59,4
6590,1.37,40,2.81,0.54,4
6191,1.24,42.63,3.43,0.54,4
4958,1.03,43.01,2.64,0.54,4
2373,0.83,55.59,1.79,0.6,4
6114,0.72,45.31,1.89,0.4,4
1203,0.64,32.56,2,0.61,4
6792,0.54,21.99,1.58,0.59,4
4568,0.5,35.93,2.28,0.6,4
3624,0.48,15.41,1.65,0.61,4
6506,0.4,52.22,1.27,0.76,4
3296,0.04,44.8,1.41,0.73,4
8411,-0.06,52.35,0.79,0.64,3
2409,-0.46,59.06,-0.54,0.62,3
2740,-1,48.08,-9.35,0.78,3
3666,-1.67,44.93,-7.72,0.54,3
8478,6.08,47.99,6.78,0.61,5
6579,3.61,17.35,3.78,0.48,4
5287,3.05,50.22,4.45,0.56,4
6753,2.37,62.66,2.85,0.51,4
3501,1.6,24.22,3.8,0.66,4
4126,1.48,23.58,2.83,0.59,4
OTC23,0.92,45.31,2.45,0.58,4
5704,0.9,19.64,4.55,0.69,4
3332,0.82,19.96,3.84,0.63,4
M1721,0.8,39.49,2.7,0.61,4
8039,0.63,41.06,1.54,0.59,4
3426,0.61,28.62,2.93,0.7,4
9960,0.52,41.74,3.14,0.48,4
2610,0.51,73.08,1.05,0.66,4
3221,0.43,26.54,1.58,0.69,4
3311,0.34,22.45,2.12,0.62,4
6224,0.31,37.9,1.12,0.57,4
5471,0.28,12.5,1.98,0.59,4
OTC33,0.25,26.7,1.12,0.67,4
6785,0.19,2.97,0.66,0,4
4960,0.01,36.65,0.28,0.53,4
3236,-0.15,53.08,0.07,0.56,3
6129,-0.15,10.5,0.33,0.47,3
3006,-0.21,45.21,-0.29,0.74,3
2035,-0.52,73.13,-1.13,0.63,3
6457,-0.56,17.75,-1.99,0.76,3
2207,10.56,79.85,2.42,0.58,6
4536,4.3,35.88,4.28,0.55,4
1503,2.27,32.81,12.86,0.7,4
6715,1.66,23.66,2.38,0.52,4
6194,0.98,17.05,4.89,0.56,4
6170,0.94,65.93,1.66,0.6,4
2535,0.89,64.75,1.19,0.55,4
2618,0.87,67.76,0.96,0.62,4
4912,0.85,50.92,2.69,0.64,4
3257,0.78,23.33,3.38,0.44,4
5015,0.76,44.95,1.68,0.55,4
6175,0.74,33.68,3.41,0.63,4
OTC15,0.58,45.65,1.75,0.56,4
1609,0.34,64.55,1.16,0.57,4
5291,0.12,34.92,0.32,0.61,4
3060,0.11,40.11,1.27,0.74,4
3071,0.06,50.26,2.07,0.57,4
3541,0.04,65.81,0.15,0.39,4
8933,-0.07,57.58,0.35,0.48,3
6209,-0.11,26.13,0.68,0.58,3
3593,-0.15,68.28,-0.01,0.55,3
1538,-0.36,26.83,-1.89,0.24,3
5227,-1,43.43,-6.61,0.36,3
4966,7.21,12.19,5.91,0.64,5
6904,2.45,34.67,2.93,0.56,4
6239,2.32,34.72,2.07,0.67,4
2031,2.31,57.06,5.28,0.48,4
2472,1.47,27.39,3.61,0.58,4
M2700,1.32,44.15,11.41,0.58,4
4549,1.18,18.82,3.7,0.54,4
6873,0.46,55.3,0.32,0.27,4
4417,0.44,35.86,2.13,0.45,4
5432,0.28,21.58,1.29,0.41,4
3588,0.18,10.88,0.86,0.66,4
6821,0.16,36.04,1.24,0.48,4
3577,0.15,22.86,0.7,0.56,4
3527,0.13,18.66,0.43,0.64,4
1710,0.03,54.83,1.02,0.63,4
5392,-0.04,51.65,0.88,0.56,3
3419,-0.28,35.53,-1.17,0.64,3
3047,-0.29,58.32,-1.98,0.57,3
2067,-0.87,79.25,-2.14,0.5,3
5274,10.36,30.3,8.26,0.85,6
8467,1.72,37.39,3.3,0.61,4
6449,1.59,41.03,4.66,0.55,4
1558,1.42,28.59,2.72,0.59,4
2455,1.04,30.46,4.16,0.72,4
3705,1,33.89,2.82,0.62,4
OTC88,0.77,48.41,2.02,0.57,4
2062,0.73,41.54,2.65,0.62,4
4554,0.69,34.06,2.39,0.6,4
6208,0.64,49.32,1.62,0.53,4
5523,0.61,36.17,1.98,0.42,4
1604,0.61,48.32,2.55,0.63,4
8476,0.52,32.76,1.53,0.44,4
6548,0.47,46.63,4.73,0.54,4
8931,0.41,52.66,0.92,0.5,4
1323,0.26,46.71,2.22,0.56,4
1904,0.25,58.02,0.77,0.57,4
8421,0.14,53.33,1.21,0.6,4
1711,0.06,33.35,0.71,0.59,4
4711,0.05,17.52,0.22,0.55,4
6658,0.02,51.85,1.27,0.51,4
1727,-0.01,31.77,-0.02,0.64,3
3685,-0.13,40.85,0.36,0.45,3
3437,-0.3,22.35,-0.84,0.61,3
6472,7.07,62.63,2.9,0.41,5
8083,3.1,31.96,6.11,0.93,4
3217,2.22,18.17,2.93,0.51,4
8279,2.2,35.13,1.91,0.6,4
4933,1.95,25.69,3.48,0.56,4
6206,1.56,18.05,4.16,0.69,4
2476,1.14,31.73,3.51,0.51,4
6504,0.98,64.27,1.56,0.55,4
6739,0.88,41.29,3.5,0.56,4
8932,0.79,37.82,4.3,0.66,4
1539,0.64,33.74,1.69,0.62,4
6615,0.58,18.24,1.65,0.63,4
1760,0.51,42.34,1.53,0.62,4
4930,0.5,47.85,2.57,0.58,4
4111,0.41,30.06,1.31,0.6,4
1326,0.26,35.42,-1.48,0.59,4
2471,0.21,35.14,0.63,0.46,4
3669,0.2,23.89,4.3,0.54,4
1464,0.13,60.94,1.69,0.69,4
6609,0.12,38.28,0.35,0.44,4
1905,0.04,50.2,1.87,0.59,4
3504,-2.01,33.78,-4.51,0.5,3
6491,6.54,30.31,3.8,0.5,5
4770,6.14,32.01,5.42,0.58,5
6803,4.15,54.84,2.93,0.58,4
OTC32,2.46,55.55,3.54,0.63,4
OTC13,2,46.71,8.2,0.5,4
6284,1.74,41.76,2.81,0.57,4
8103,1.05,39.42,2.94,0.53,4
6620,0.83,14.47,4.87,0.28,4
OTC99,0.78,49.91,2,0.55,4
1752,0.54,38.11,1.47,0.57,4
2109,0.48,38.12,2.33,0.58,4
3138,0.33,41.21,1.68,0.45,4
1584,0.3,29.34,1.03,0.44,4
3016,0.14,31.23,0.58,0.6,4
3520,0.08,42.33,1,0.59,4
3207,0.05,44.05,0.65,0.52,4
5488,-0.02,39.09,1.29,0.46,3
8176,-0.14,30.38,-0.59,0.45,3
6695,-0.23,8.34,-0.96,0.46,3
4903,-0.24,12.2,-2.27,0.49,3
6292,2.48,49.92,5.02,0.36,4
5312,2.37,57.3,3.27,0.56,4
6788,2.17,41.48,3.22,0.59,4
5403,1.71,52.56,3.03,0.63,4
2496,1.51,40.71,2.11,0.56,4
4506,1.39,42.15,2.69,0.52,4
4105,1.13,39.24,4.86,0.51,4
4942,1.13,21.53,4.03,0.49,4
8432,1.07,7.51,11.07,0.54,4
6693,0.96,27.91,2.91,0.63,4
6568,0.9,11.78,1.77,0.61,4
4533,0.77,58.96,2.36,0.52,4
M1700,0.73,38.4,2.19,0.52,4
6417,0.72,41.95,1.14,0.49,4
4542,0.61,49.14,1.74,0.49,4
OTC86,0.59,53.12,1.37,0.56,4
6514,0.55,29.59,4.99,0.59,4
3567,0.42,10.27,2.01,0.42,4
1470,0.36,17.35,2.74,0.66,4
3178,0.32,54.32,0.53,0.42,4
8929,0.29,30.37,2.9,0.55,4
3059,0.28,38.02,2.69,0.42,4
M1900,0.19,54.18,1.82,0.55,4
6101,0.14,13.12,1.68,0.59,4
M2326,0.06,40.89,0.93,0.54,4
1460,0.01,53.37,0.48,0.62,4
8080,-0.24,46.35,-1.79,0.38,3
6661,-0.24,43.15,-1.14,0.51,3
3707,-0.3,36.73,-0.69,0.5,3
8431,-0.41,28.62,-0.78,0.44,3
3481,-0.45,34.76,0.03,0.57,3
3162,-0.64,58.3,-0.81,0.42,3
3272,-1.09,64.12,0.85,0.64,3
6605,5.34,43.45,2.76,0.6,5
6683,4.42,13,4.57,0.58,4
3526,3.06,46.13,6.01,0.47,4
4749,2.11,47.97,3.85,0.61,4
5236,1.94,25.74,3.8,0.49,4
3042,1.73,35.73,4.4,0.57,4
1720,1.41,30.45,4.41,0.57,4
6937,1.25,22.43,2.32,0.5,4
4945,1.11,18.85,4.39,0.54,4
6829,1.09,30.14,2.58,0.5,4
5469,1,43.05,2.44,0.46,4
6532,0.86,21.71,2.64,0.55,4
4741,0.64,21.51,1.81,0.53,4
5215,0.49,24.43,3.24,0.49,4
6925,0.48,25.42,2.81,0.52,4
3290,0.42,42.11,2.52,0.44,4
3450,0.31,34.44,2.27,0.57,4
5220,0.26,39.25,0.75,0.55,4
3597,0.18,45.73,1.15,0.52,4
5546,0.15,62.03,0.93,0.5,4
4939,0.13,44.12,2.43,0.52,4
4502,0.09,74.8,0.92,0.52,4
2929,-0.09,22.76,1.1,0.49,3
8046,-0.24,34.83,0.79,0.41,3
6624,-0.49,53.4,-0.99,0.28,3
3349,-0.5,43.96,-3.67,0.55,3
6767,-0.51,27.23,-2.97,0.6,3
3219,-0.53,27.48,-1.05,0.27,3
2314,-0.72,66.49,-2.69,0.32,3
1565,3.77,23.13,2.45,0.57,4
6585,2.72,39.67,3.67,0.59,4
3022,2.67,27.69,3.74,0.47,4
2360,2.27,39.68,3.57,0.52,4
8410,1.97,24.77,3.14,0.4,4
3675,1.91,47.84,3.06,0.64,4
4138,1.46,50.22,1.51,0.52,4
5356,1.14,24.59,2.25,0.57,4
8436,1.11,31.44,1.45,0.42,4
3362,0.98,54.57,2.13,0.5,4
4584,0.94,50.34,2.01,0.62,4
2441,0.92,11.15,4.89,0.56,4
2762,0.86,78.52,0.54,0.53,4
8131,0.79,14.15,0.47,0.71,4
6756,0.73,22.65,2.05,0.43,4
4102,0.64,22.56,3.48,0.62,4
3025,0.63,25.23,2.9,0.37,4
2374,0.53,24.85,1.91,0.55,4
4161,0.35,44.87,1,0.58,4
1586,0.33,63,1.16,0.64,4
5381,0.27,64.09,0.43,0.85,4
8121,0.26,48.26,2.55,0.61,4
4943,0.25,86.29,0.6,0.57,4
5230,0.21,52.18,1.88,0.56,4
5340,0.16,15.52,1.38,0.75,4
6558,0.02,20.25,1.6,0.51,4
8092,-0.08,40.93,-0.53,0.31,3
3363,-0.29,12.73,-1.2,0.45,3
4526,-0.41,60.41,-0.21,0.42,3
1721,-0.44,44.77,-2.15,0.58,3
5284,-1.26,46.55,-2.33,0.55,3
8444,-2.96,86.82,-5.09,0.63,3
3406,9.65,50.77,3.34,0.49,5
1795,3.96,49.97,2.91,0.5,4
3356,2.59,26.3,9.54,0.49,4
M2200,1.55,59.2,1.68,0.54,4
4551,1.5,39.52,2.73,0.5,4
5474,1.37,24.61,2.42,0.55,4
OTC35,1.04,44.74,2.08,0.57,4
4935,1,20.73,3.2,0.55,4
6952,0.72,38.6,1.89,0.6,4
6906,0.56,14.85,2.21,0.34,4
1784,0.47,27.99,1,0.49,4
2115,0.4,36.85,2.47,0.6,4
M2100,0.37,44.3,1.95,0.53,4
1109,0.35,11.63,1.67,0.38,4
6126,0.26,31.8,3.53,0.38,4
1467,0.12,64.71,1.02,0.59,4
6603,0.02,66.91,0.53,0.51,4
6218,-0.01,43.07,0.39,0.8,3
2064,-0.07,60.29,-0.23,0.55,3
8921,-0.2,17.68,1.39,0.47,3
4530,-0.23,27.85,-3.9,0.63,3
3379,-0.47,57.76,0.96,0.23,3
8093,-0.53,52.69,-3.92,0.54,3
6217,-0.54,50.02,-0.65,0.45,3
6573,-0.6,67.58,-1.86,0.51,3
6674,-0.61,27.37,-2.55,0.56,3
1590,9.15,28.57,4.28,0.5,5
6781,5.41,35.03,4.22,0.46,5
2230,1.87,37.99,7.7,0.71,4
2816,1.81,68.91,2.08,0.54,4
2514,1.28,50.98,1.35,0.64,4
6856,0.98,10.5,2.92,0.46,4
5515,0.86,39.25,3.73,0.56,4
6955,0.83,12.61,4.43,0.59,4
3512,0.74,58.95,1.57,0.4,4
2504,0.7,34.97,2.29,0.51,4
6215,0.36,24.18,-0.67,0.62,4
3027,0.3,35.95,1.72,0.57,4
8423,0.26,34.38,1.33,0.44,4
4560,0.25,22.12,2.23,0.6,4
3306,0.24,7.8,17.11,0.24,4
2388,0.15,36.61,2.47,0.36,4
6225,0.05,12.61,1.17,0.51,4
2002,0.04,49.9,0.65,0.55,4
1569,0.02,46.32,1.88,0.39,4
1445,0,9.48,-0.54,0.32,3
2417,-0.02,27.27,0.37,0.52,3
3018,-1.59,94.13,-6.6,0.31,3
2428,2.6,30.74,4.45,0.44,4
5299,2.27,24.86,2.89,0.41,4
1513,1.93,59.84,6.11,0.54,4
4163,1.77,44.75,1.96,0.5,4
1527,1.1,10.83,2.82,0.6,4
3003,0.94,26.38,2,0.49,4
4137,0.91,41.18,2.46,0.44,4
3095,0.76,90.32,1.11,0.63,4
2354,0.6,20.44,1.61,0.27,4
8481,0.57,16.88,3.53,0.54,4
5489,0.35,15.76,1.33,0.54,4
1108,0.3,51.61,1.16,0.48,4
6174,0.26,21.46,1.54,0.51,4
2108,0.21,12.55,2.78,0.51,4
8403,0.19,45.26,0.92,0.53,4
3591,0.19,22.09,2.27,0.55,4
1907,0.17,48.09,3.36,0.49,4
6111,0.17,60.62,0.91,0.7,4
8104,0.01,56.27,0.63,0.45,4
1593,0,33.11,0.99,0.48,3
3062,0,31.57,0.36,0.37,3
6512,-0.12,7.84,-0.67,0.54,3
4744,-0.14,44.57,0.08,0.45,3
3230,-0.26,58.15,-0.75,0.32,3
1441,-0.49,80.01,-1.49,0.47,3
3609,-1.25,70.27,-4.05,0.36,3
6894,2.28,24.85,3.56,0.49,4
6747,2.05,20.14,8.28,0.49,4
3289,1.8,54.89,1.77,0.56,4
4566,1.47,54.92,1.97,0.49,4
8068,1.23,27.64,6.72,0.52,4
7556,1.19,21.03,5.43,0.5,4
2938,1.03,58.28,1.26,0.5,4
4904,0.81,51.18,1.52,0.53,4
3708,0.77,37.56,1.92,0.48,4
OTC55,0.61,56.04,1.4,0.5,4
8415,0.56,37.76,0.54,0.49,4
O2326,0.43,44.6,2.83,0.45,4
8033,0.17,37.2,1.76,0.52,4
2243,0.14,79.9,1.22,0.21,4
4430,-0.07,48.91,0.6,0.53,3
1512,-0.18,84.12,-1.04,0.53,3
6142,-0.21,25.26,-1.64,0.22,3
1338,-0.3,38.45,1.12,0.42,3
4433,-0.4,67.66,-0.29,0.39,3
2460,-0.42,61.38,-0.34,0.46,3
8089,-2.32,69.3,-6.66,0.55,3
6561,3.11,57.42,3.48,0.48,4
6863,2.54,19.97,5.86,0.54,4
3227,2.02,23.95,3.53,0.56,4
2718,1.16,47.67,2.61,0.26,4
1524,1.02,50.05,3.62,0.54,4
4561,0.94,46.2,2.27,0.46,4
6899,0.93,25.23,1.89,0.44,4
M1500,0.83,44.71,2.23,0.47,4
4908,0.76,10.73,3.14,0.48,4
6591,0.71,33.42,2.97,0.46,4
Y8886,0.7,51.86,1.72,0.49,4
OTC14,0.11,48.82,0.61,0.45,4
1809,0.11,26.3,1.16,0.51,4
4534,0.08,50.09,1.03,0.58,4
6133,0.04,42.48,0.84,0.46,4
6168,0.02,19.58,1.36,0.46,4
M1800,-0.06,40.97,1.71,0.44,3
1802,-0.09,43.65,1.88,0.43,3
2208,-0.28,69.28,-0.81,0.39,3
3122,-0.41,37.97,-2.24,0.44,3
3672,-0.78,55.53,-3.56,0.29,3
3131,5.99,54.12,3.23,0.45,5
M2324,3.92,38.26,4.01,0.49,4
9943,2.8,38.77,3.84,0.47,4
3030,1.93,22.25,5.05,0.64,4
3265,1.86,29.38,4.54,0.51,4
5009,1,49.96,1.95,0.42,4
5222,0.96,27.17,4.39,0.4,4
2478,0.92,29.65,2.05,0.45,4
8383,0.84,23.13,2.33,0.47,4
2608,0.58,45.68,1.3,0.49,4
6840,0.53,46.22,1.3,0.49,4
3141,0.5,28.68,1.16,0.4,4
6508,0.5,19.18,1.76,0.58,4
2436,0.49,30.15,2.07,0.45,4
4739,0.45,31.68,0.82,0.45,4
1731,0.44,30.55,2.63,0.56,4
8923,0.34,45.94,1.26,0.51,4
2359,0.21,40.35,0.4,0.35,4
1236,0.09,35.36,-1.54,0.62,4
6125,0.06,55.47,-0.22,0.21,4
5426,0.06,21.46,1.8,0.44,4
3530,-0.18,20.22,-0.35,0.45,3
6796,-0.3,43.53,-0.72,0.28,3
5364,-0.45,41.14,-4.6,0.34,3
2321,-0.6,66.48,-0.95,0.48,3
1533,-0.72,68.8,-1.02,0.34,3
5508,4.9,64.72,6.43,0.74,4
6782,2.7,39.52,3.61,0.67,4
2451,1.88,22.23,4.1,0.48,4
3037,1.6,54.9,1.98,0.48,4
3551,1.47,24.53,2.41,0.51,4
2748,1.35,44.43,3.05,0.6,4
4104,1.19,43.13,1.81,0.45,4
2049,1.12,33.02,1.11,0.43,4
1734,0.66,44.46,1.98,0.49,4
M1722,0.64,37.11,1.57,0.4,4
6423,0.56,19.25,4.06,0.65,4
8070,0.48,45.78,8.05,0.43,4
8222,0.44,45.88,1.93,0.49,4
6530,0.33,11.23,2.13,0.5,4
OTC97,0.32,66.5,0.54,0.41,4
1906,0.3,35.75,0.45,0.55,4
4401,0.18,53.65,0.47,0.58,4
3339,0.16,22.43,0.79,0.52,4
5344,0.15,16.71,1.42,0.56,4
1810,-0.06,35.47,0.91,0.43,3
4513,-0.09,51.15,-0.06,0.43,3
3067,-0.09,13.58,-0.36,0.37,3
6144,-0.1,14.02,-1.08,0.51,3
6743,-0.26,69.27,-0.03,0.55,3
4764,-0.3,52.38,-0.05,0.46,3
5245,-0.72,45.08,-1.28,0.47,3
4198,-0.79,34.38,-3.06,0.55,3
3259,-1.11,19.77,-13.19,0.35,3
6855,3,34.86,5.59,0.54,4
3376,1.68,27.02,1.93,0.53,4
O2324,1.61,47,2.59,0.45,4
6771,1.06,50.65,2.35,0.46,4
M3500,0.84,49.71,1.3,0.42,4
8261,0.74,8.4,1.29,0.4,4
8150,0.6,44.51,0.94,0.47,4
3051,0.59,36.45,2.44,0.37,4
6870,0.58,24.66,0.63,0.39,4
1504,0.55,36.11,-0.79,0.43,4
3438,0.49,11.67,-7.53,0.43,4
M1400,0.48,47.82,0.99,0.48,4
6806,0.46,59.72,0.57,0.3,4
4999,0.25,16.29,0.91,0.42,4
M1300,0.04,38.95,-0.02,0.45,4
3057,-0.07,36.77,0.14,0.48,3
4528,-0.12,40.95,1.08,0.44,3
6830,-0.2,44.86,0.04,0.39,3
6496,-0.73,36.93,-2.53,0.47,3
8050,1.37,29.65,2.59,0.3,4
3491,1.23,33.21,3.73,0.5,4
8917,0.64,51.6,1.76,0.5,4
5244,0.57,14.12,2.93,0.37,4
1234,0.44,21.65,0.78,0.46,4
8072,0.36,10.3,1.27,0.36,4
6666,0.3,21.37,2.62,0.45,4
3594,0.19,39.44,1.05,0.29,4
5703,0.17,47.98,1.28,0.53,4
6662,0.14,18.1,-0.51,0.34,4
8064,0.04,45.72,0.72,0.38,4
2033,0.04,17.15,0.31,0.44,4
4419,0,23.05,0.81,0.43,3
4406,-0.12,29.63,-0.53,0.39,3
6283,-0.12,25.85,1.53,0.53,3
3191,-0.17,47.64,-1.47,0.34,3
4972,-0.31,26.04,0.44,0.44,3
5223,-0.38,37.64,2.17,0.41,3
6465,-0.45,6.54,-3.81,0.32,3
3288,-0.47,52.11,-3.05,0.28,3
3041,-0.7,44.69,-4.95,0.6,3
6645,-0.8,36.67,-4.17,0.41,3
6287,-0.86,93.64,-4.08,0.37,3
4569,2.96,12.6,2.17,0.49,4
9958,2.66,52.98,3.56,0.35,4
8255,2.22,36.29,3.32,0.45,4
1563,1.17,55.72,1.44,0.45,4
2467,1.15,58.18,9.25,0.5,4
2449,1.12,45.53,2.77,0.43,4
8182,0.78,41.96,1.21,0.44,4
3712,0.75,63.83,0.76,0.34,4
6951,0.73,39.59,2.62,0.47,4
4114,0.48,32.95,1.41,0.43,4
6895,0.34,13.59,1.06,0.26,4
6244,0.33,48.38,1.82,0.41,4
6265,0.31,13.9,2.59,0.48,4
8249,0.21,28.7,8.39,0.36,4
6834,0.05,30.87,0.3,0.5,4
2024,0.01,38.43,0.04,0.54,4
3466,-0.33,45.17,-0.92,0.29,3
6534,4.08,36.86,11.03,0.84,4
2850,2.78,62.16,1.94,0.44,4
3357,1.42,41.05,4.04,0.42,4
3264,1.15,44.73,1.9,0.4,4
6411,1,27.18,1.21,0.36,4
2231,0.92,48.86,1.45,0.41,4
6261,0.89,23.48,1.33,0.45,4
1708,0.81,53.74,2.79,0.43,4
3169,0.79,9.49,2.88,0.41,4
6425,0.7,64.44,1.3,0.62,4
9940,0.62,57.88,2.61,0.4,4
8462,0.62,81.8,0.48,0.45,4
4440,0.51,43.05,1.57,0.42,4
2481,0.47,50.05,1.65,0.4,4
5201,0.32,34.9,1.76,0.71,4
4306,0.3,61.87,1.98,0.38,4
6415,0.2,10.93,3.85,0.43,4
4538,0.13,10.33,0.75,0.28,4
5328,0.04,20.71,1.61,0.31,4
4510,0.01,58.71,-1.36,0.34,4
3149,-0.05,66.35,-0.09,0.4,3
2025,-0.26,5.27,-4.15,0.67,3
8091,2.17,32.55,2.67,0.45,4
8109,2.09,32.28,4.55,0.4,4
4107,1.81,36.34,3.14,0.42,4
2412,1.21,23.42,1.97,0.42,4
6581,1.17,19.1,2.83,0.41,4
1568,0.77,32.41,2.98,0.47,4
