eps,debt,roa,quick
0.34,57.68,-2.34,49.64
0.34,59.96,0.3,122.1
0.34,42.36,1.64,146.77
0.34,34.72,0.72,164.84
0.34,6.88,2.28,"1,310.15"
0.35,72.13,0.53,14.69
0.35,61.97,9.36,163.27
0.35,23.6,0.47,226.83
0.35,20.25,1.65,386.55
0.36,52.47,0.65,123.07
0.36,48.11,-0.29,162.9
0.36,27.94,0.92,393.66
0.36,11.1,3.72,540.93
0.36,11.58,1.68,652.99
0.37,71.46,0.54,40.77
0.37,42.58,0.78,172.82
0.37,43.84,1.71,322.27
0.38,50.39,0.51,123.5
0.38,12.34,0.57,251.6
0.39,45.46,0.87,57.94
0.39,35.34,2.2,88.13
0.39,24.62,2.68,149.99
0.39,41.09,1.16,227.25
0.39,5.66,4.89,"1,443.41"
0.41,65.43,1.26,37.09
0.41,46.05,1.84,60.52
0.41,58.43,1.27,73.85
0.41,41.08,1.06,179.93
0.41,26.42,1.48,299.91
0.41,13.08,2.93,732.63
0.42,53.5,1.41,98.56
0.42,37.78,1.44,202.54
0.42,14.99,0.99,303.81
0.42,24.22,1.5,342.57
0.42,8.8,1.68,"1,000.52"
0.43,84.64,0.4,12.55
0.43,54.28,1.38,72.25
0.43,45.11,1.11,109.12
0.43,38.81,0.34,119.89
0.43,45.76,1.47,137.23
0.44,46.76,1.83,49.76
0.44,13.34,2.93,644.33
0.45,48.29,0.89,97.21
0.45,12.83,3.79,577.79
0.46,20.83,4.03,191.61
0.46,14.51,1.61,247.04
0.46,19.43,1.77,375.85
0.46,19.1,5.5,406.31
0.47,75.98,1.57,30.46
0.47,30.01,2.67,30.54
0.47,10.48,5.97,284.8
0.48,53.58,2.91,87.57
0.48,15.56,1.8,502.2
0.48,25.95,1.48,585.38
0.49,33.78,4.11,87.66
0.49,44.35,1.73,133.36
0.5,59.43,0.99,85.39
0.5,68.07,0.83,89.09
0.5,51.49,-2.63,117.29
0.5,46.02,1.75,191.67
0.5,12.52,1.19,326.52
0.51,70.39,2.74,95.61
0.51,69.37,1.59,128.04
0.51,22.43,-0.33,135.68
0.51,57.93,-0.21,194.58
0.51,21.74,1.61,406.55
0.52,81.43,0.86,63.39
0.52,23.93,2.66,141.71
0.52,23.19,-1.53,179.25
0.52,18.29,5.49,355.23
0.53,66.98,0.28,49.29
0.53,59.55,1.01,64.82
0.53,32.27,1.87,127.79
0.53,19.85,2.72,286.54
0.53,13.35,5.09,"1,083.55"
0.54,34.43,2.6,141.5
0.54,29.02,0.11,167.04
0.54,19.39,1.51,220.82
0.54,23.76,1.65,282.61
0.54,23.31,3.74,571.86
0.55,76.53,0.97,23.74
0.55,49.79,3.35,86.19
0.55,50.18,3.06,109.58
0.55,58.29,1.72,125.71
0.55,36.36,2.91,131.83
0.55,5.08,5.33,874.33
0.56,47.18,0.99,85.32
0.56,64.09,3.04,102.96
0.56,49.31,2.24,168.56
0.56,15.06,2.9,223.33
0.57,63.95,1.34,72.77
0.57,30.09,3.1,101.67
0.57,43.03,3.46,108.01
0.57,28.11,2.36,316.64
0.57,8.99,8.91,"1,302.93"
0.58,54.75,1.84,77.51
0.58,34.1,2.68,155.83
0.58,33.79,2.41,206.52
0.58,13.98,4.45,336.69
0.58,28.39,3.56,586.8
0.59,42.38,2.07,127
0.59,31.93,1.28,153.36
0.6,66.12,1.08,141.22
0.6,28.1,1.9,331.09
0.6,13.34,3.98,"1,720.85"
0.61,55,2.29,13.34
0.61,72,1.59,23.21
0.61,58.85,1.31,68.08
0.61,68.42,0.78,82.6
0.61,10.29,4.35,"1,856.67"
0.62,37.37,2.11,129.73
0.62,23.09,2.6,300.75
0.62,15.49,2.17,322.18
0.63,39.54,1.51,150.75
0.63,24.26,0.7,274.69
0.63,11.09,2.75,288.55
0.63,24.67,15.22,306.21
0.63,8.4,0.4,807.63
0.64,75.3,1.19,0.43
0.64,34.8,3.72,98.26
0.64,49.98,1.74,110.23
0.65,19.1,4.25,184.61
0.66,48.82,-1.72,112.92
0.66,27.58,3.74,302.11
0.66,14.9,3.22,"1,296.48"
0.67,83.8,0.73,39.33
0.67,67.44,0.77,64.7
0.67,41.09,2.04,81.13
0.67,46.74,0.06,119.99
0.68,46.76,2.03,74.44
0.68,39.66,1.49,150.86
0.69,70.58,0.54,5.43
0.69,26.53,3.67,123.18
0.7,38.22,2.69,115.94
0.7,37.75,2.38,157.45
0.7,31.97,2.41,167.42
0.71,69.1,1.01,91.76
0.71,45.87,2.43,127.98
0.72,51.69,0.8,125.72
0.72,16.66,3.04,190.57
0.72,5.12,3.13,789.97
0.73,54.98,3.6,83.71
0.73,35.78,2.79,115.42
0.73,10.84,5.62,391.02
0.73,7.08,2.88,965.63
0.74,71.61,1,30.48
0.74,50.57,2.03,100.2
0.74,57.75,2.71,181.11
0.74,36.03,3.53,184.73
0.74,17.16,6.87,"1,166.57"
0.75,58.86,0.85,78.37
0.75,70.78,1.72,140.59
0.76,54.58,1.72,69.04
0.76,47.77,1.79,97.6
0.76,24.77,2.57,129.96
0.76,44.3,3.58,177.34
0.76,48.61,2.9,237.81
0.76,20.71,4.97,277.18
0.76,0.76,25.2,"2,930.23"
0.77,77.21,2.63,37.56
0.77,64.92,2.75,70.66
0.79,54.34,1.55,50.03
0.79,45.65,1.9,64.54
0.8,67.15,2.32,9.72
0.8,44.98,3.34,31.58
0.8,73.62,1.06,64.63
0.8,37.18,3.13,123.2
0.8,41.86,1.61,125.32
0.81,27.3,4.14,325.36
0.81,5.56,14.31,512.18
0.82,43.64,2,27.32
0.82,64.4,1.74,89.04
0.82,45.24,4.73,95.45
0.82,37.35,1.61,213.27
0.82,26.99,2.44,243.17
0.83,57.95,2.35,74.51
0.83,19.32,3.21,"1,591.33"
0.84,58.37,0.87,72.22
0.84,37.13,3.16,76.59
0.84,38.06,3.28,122.91
0.84,42.15,2.15,220.49
0.85,28.98,4.11,188.83
0.85,17.61,6.67,477.15
0.86,26.54,2.69,252.44
0.87,44.89,2.51,88.37
0.87,57.99,-4.09,118.16
0.87,27,18.4,352.79
0.88,31.73,4.22,73.95
0.88,32.85,2.86,103.86
0.88,47.41,3.12,106.15
0.88,45.24,4.19,114.01
0.88,48.09,2.36,147.26
0.88,36.39,3.72,224.63
0.88,43.66,3.92,232.21
0.88,31.41,0.46,285.77
0.88,25.93,2.29,399.55
0.89,64.77,1.59,39.64
0.89,67.47,1.58,79.59
0.9,69.16,1.42,37.9
0.9,40.93,2.38,84.37
0.9,46.9,3.4,139.15
0.9,2.61,32.15,907.48
0.91,35.86,3.2,85.3
0.91,42.17,0.74,129.72
0.91,71.71,5.66,166.27
0.91,58.26,3,247.11
0.92,28.5,4.59,28.85
0.92,55.24,1.43,108.75
0.92,43.78,2.08,149.64
0.92,41.73,4.79,165.52
0.92,34.77,7.16,186.29
0.92,46.56,2.83,355.39
0.93,45.22,1.54,165.26
0.93,36.53,2.88,425.07
0.94,69.26,7.22,28.73
0.94,70.77,2.1,62.14
0.94,54.83,3.21,73.2
0.94,15.31,3.1,398.09
0.95,33.95,30.21,86.68
0.95,45.52,3.03,160.18
0.95,21.85,5.09,170.14
0.95,40.51,2.69,178.55
0.95,30.23,3.19,200.66
0.95,17.27,10.78,300.39
0.96,48.43,2.54,47.68
0.96,48.17,2.95,128
0.96,37.19,2.47,153.54
0.96,25.47,3.16,173.07
0.97,58.24,1.5,84.88
0.97,20.37,3.69,260.55
0.99,46.87,2.28,146.97
0.99,48.82,3.81,166.46
0.99,47.38,2.44,178.5
0.99,8.45,-0.01,488
1,35.74,5,227.97
1,14.2,5.01,589.36
1.01,60.05,2.5,78.43
1.01,43.99,2.39,96.51
1.01,51.96,4.07,155.62
1.01,11.63,4.8,611.82
1.02,66.61,2.26,75.98
1.02,43.78,4.39,100.97
1.02,7.15,10.41,661.65
1.03,64.03,3.58,133.3
1.03,40.95,4.95,172.31
1.03,21.85,2.44,323.29
1.04,56.13,2.41,8.46
1.04,59.66,2.56,100.34
1.04,39.57,1.17,104.01
1.05,39.79,-0.39,109.02
1.05,31.28,3.12,121.2
1.05,18.57,2.69,235.23
1.05,14.73,6.16,304.78
1.06,21.67,6.89,64.79
1.06,37.25,3.28,70.96
1.06,45.91,1.61,186.82
1.06,22.82,1.73,208.74
1.06,28.65,4.3,226.83
1.06,31.39,1.7,293.68
1.07,36.61,4.51,145.48
1.07,42.14,3.25,155.48
1.07,42.25,3,179.58
1.08,41.93,2.17,86.58
1.08,42.59,3.87,129.67
1.08,39.2,2.54,138.34
1.08,61,3.64,164.03
1.09,48.94,1.25,187.44
1.1,54.52,1.86,8.51
1.1,55.69,9.67,40.49
1.1,48.7,3.84,87.93
1.1,37.42,8.17,226.33
1.11,13.3,9.17,477.75
1.12,38.89,3.71,85.23
1.12,40.74,2.37,170.18
1.12,27.71,17.76,269.01
1.12,10.59,6.24,407.27
1.13,80.97,0.57,40.42
1.13,73.4,2.24,62.3
1.13,52.17,2.82,104.92
1.13,28.9,2.8,121.26
1.13,4.55,8.55,329.7
1.13,33.95,1.4,342.96
1.14,41.48,2.64,221.79
1.15,34.55,3.15,129.62
1.15,24.08,5.26,401.72
1.16,41.73,5.36,172.05
1.16,21.77,4.95,192.52
1.16,26.52,1.18,253.42
1.16,14.61,7.85,932.89
1.17,60.4,1.41,58.81
1.17,53.69,3.58,87.34
1.17,28.31,2.93,168.67
1.17,36.15,3.38,205.39
1.17,30.07,6.44,207.97
1.18,36.13,3.75,147.35
1.18,30.73,5.42,629.18
1.19,82.45,1.24,75.18
1.19,43.81,6.8,83.79
1.19,32.55,3.49,94.45
1.19,39.3,2.19,177.92
1.19,13.6,8.24,708.87
1.2,52.12,1.22,6.86
1.2,64.91,2.35,54.94
1.2,34.86,6.45,72.11
1.2,61.38,2.11,75.77
1.2,18.9,4.63,156.49
1.2,10.98,3.96,903.99
1.21,55.49,2.28,70.56
1.21,52,2.51,122.69
1.21,30.97,3.66,153.8
1.23,58.2,-0.28,79.65
1.23,45.81,3.36,98.42
1.23,40.6,3.42,129.26
1.23,20.62,6.72,429.05
1.24,18.92,4.54,155.57
1.24,34.99,-1.13,156.5
1.25,56.79,11.25,87.21
1.25,40.48,5.28,186.03
1.25,15.96,8.24,334.79
1.25,16.96,6.03,370.99
1.25,11.17,8.01,700.73
1.25,9.59,9.77,939.38
1.26,21.1,7.59,82.83
1.27,34.97,3.8,89.15
1.27,52.36,2.54,91.52
1.27,42.46,4.91,98.93
1.27,46.45,4.43,112.07
1.27,57.45,4.57,113.56
1.27,28.07,6.9,121.53
1.27,42.42,1.86,158.26
1.28,48.42,5.01,46.98
1.28,24.08,5.44,62.99
1.28,56.92,1.73,122.07
1.28,39.4,0.45,130.08
1.28,40.04,2.78,141.17
1.28,40.87,3.67,149.06
1.28,32.62,3.6,157.77
1.28,30.99,3.85,188.37
1.29,77.16,4.01,8.27
1.29,57.41,2.79,60.8
1.29,50.05,3.41,121.28
1.29,47.29,4.67,124.27
1.29,40.22,7.65,194.39
1.29,26.23,3.1,293.28
1.3,49.14,4.98,49.59
1.3,59.19,4.02,58.42
1.3,40.87,3.11,169.41
1.3,36.27,3.33,173.35
1.3,13.57,8.69,276.49
1.3,16.63,6.7,401.01
1.32,42.02,4.82,74.64
1.32,20.71,6.63,361.76
1.33,74.73,3.91,11.38
1.33,42.5,5.04,119.39
1.33,49.28,3.06,124.43
1.34,72.95,1.28,83.3
1.34,45.27,3.32,124.88
1.34,47.7,3.86,125.52
1.34,57.35,3.35,172.47
1.34,40.07,4.55,209.72
1.34,23,29.49,700.16
1.34,9.2,6.55,809.69
1.35,40.6,4.26,76.43
1.35,39.61,6.51,131.6
1.35,31.35,3.78,136.01
1.36,54.41,5.56,54.15
1.37,29.27,1.11,397.16
1.38,23.02,6.38,104.79
1.38,49.55,4.37,197.27
1.38,11.96,2.28,471.68
1.38,13.35,5.62,561.19
1.39,82.29,1.95,37.97
1.39,32.84,2.27,194.25
1.4,73.7,1.77,30.71
1.4,55.64,1.83,57.97
1.4,60.6,1.99,79.67
1.41,54.48,-0.26,77.51
1.41,37.1,12.91,91.24
1.41,37.03,5.03,217.84
1.41,37.66,5.28,292.09
1.41,10.51,6.83,574.95
1.41,8.2,9.32,922.75
1.42,64.83,2.07,24.45
1.42,27.79,6.99,160.31
1.42,43.45,5.16,301.44
1.43,50.32,2.08,105.5
1.44,55.9,5.57,47.91
1.44,52.01,4.36,139.3
1.45,39.24,5.89,152.96
1.45,27.33,3.82,267.74
1.45,10.93,5.43,854.31
1.46,51.96,3.01,97.28
1.46,47.83,4.38,137.72
1.46,32.19,3.22,159.09
1.47,89.3,0.54,93.06
1.47,12.45,2.12,309.08
1.48,64.89,3.25,34.24
1.48,30.79,2.25,121.72
1.48,28.53,5.94,178.93
1.48,27.44,6.96,189.7
1.48,34.73,4.21,321.43
1.48,20.94,7.52,422.2
1.49,41.05,2.5,146.26
1.49,38.73,4.79,168.91
1.49,17.79,4.54,203.71
1.5,67.82,1.42,40.05
1.5,82.37,1.23,43.9
1.5,56.06,2.59,124.72
1.5,21.29,2.26,191.59
1.5,28.54,5.75,239.36
1.51,65.98,3.4,76.55
1.51,58.23,2.21,96
1.51,49.76,3.9,100.59
1.51,27.41,6.19,182.73
1.51,36.66,7.29,210.65
1.51,20.06,10.37,396.41
1.51,12.23,8.59,866.98
1.52,61.9,3.86,81.61
1.52,53.55,4.5,180.73
1.52,33.42,3.54,452.91
1.53,36.04,12.99,190.32
1.54,24.33,5.18,260.4
1.55,40.49,4.08,105.91
1.55,79.21,3.35,115.73
1.55,39.94,-0.28,143.21
1.55,44.75,1.96,169.67
1.55,38.61,6.15,181.27
1.55,13.12,10.67,520.96
1.56,38.65,3.6,149.38
1.57,66.24,3.55,58.49
1.57,42.77,2,124.15
1.57,23.77,9.14,355.14
1.58,62.26,5.52,55.23
1.58,50.79,12.34,175.2
1.6,54.9,4.49,88.23
1.61,30.93,3.2,132.58
1.61,55.91,6.88,136.77
1.61,30.52,9,236.57
1.61,26.18,7.95,352.36
1.61,13.18,9.14,356.03
1.61,24.89,7.75,364.97
1.61,9.55,7.4,648.29
1.62,24.25,12.48,118.57
1.63,75.11,2.97,62.45
1.64,52.39,3.82,60.28
1.64,53.88,3.1,64.2
1.64,61.51,6.95,95.16
1.64,51.3,6.88,134.25
1.64,22.47,6.16,221.42
1.65,71.59,1.71,46.97
1.65,66.28,0.7,73.73
1.65,22.63,6.69,191.57
1.65,30.98,7.42,311.03
1.66,64.57,4.19,36.2
1.66,78.39,3.15,47.5
1.66,61.5,6.91,79.43
1.66,50.25,1.68,112.49
1.67,69.62,3.06,23.9
1.67,48.25,9.76,133.66
1.67,37.84,3.56,140.14
1.67,26.67,3.84,367.43
1.68,77.85,2.72,108.74
1.68,44.97,4.65,122.48
1.68,52.87,3.88,125.58
1.68,49.33,6.74,137.44
1.68,31.15,8.72,197.15
1.69,30.56,4.8,122.38
1.69,29.38,8.07,317.38
1.69,31.85,5.15,332.4
1.7,58.51,3.69,84.79
1.7,56.64,6.54,104.67
1.7,40.21,2.75,141.3
1.7,44.72,5.24,158.27
1.71,74.86,2.88,72.66
1.71,43.44,3.76,149.47
1.72,38.12,-2.59,150.33
1.73,70.77,1.33,133.29
1.74,49.53,1.62,145.17
1.74,42.07,2.57,166.5
1.75,75.87,0.79,55.25
1.75,55.01,4.06,110.86
1.75,32.86,4.71,151.63
1.75,22.07,2.46,188.06
1.75,44.54,2.06,219.32
1.75,34.96,3.41,260.23
1.76,69.6,2.25,96.89
1.76,36.01,2.49,185.82
1.77,47.65,3.43,77.48
1.8,33.13,7.32,133.51
1.8,42.37,2.74,135.1
1.8,19.89,3.84,218.04
1.81,56.39,0.29,79.46
1.81,28.31,7.46,224.41
1.81,25.28,4.69,463.98
1.81,6.12,15.43,"1,159.27"
1.82,40.4,4.86,63.05
1.82,47.62,4.1,147.15
1.83,55.46,6.33,46.99
1.83,38.47,8.3,72.76
1.83,51.03,3.88,82.86
1.83,51.82,3.78,83.52
1.83,9.36,55.84,127.55
1.83,35.88,6.15,180.3
1.84,55.03,5.73,120.66
1.84,23.43,11.22,257.25
1.85,77.32,2.14,60.66
1.85,54.57,3.76,91.34
1.86,76.76,2.47,14.17
1.86,43.98,4.56,131.48
1.86,41.76,1.21,163.51
1.86,23.21,2.73,242.34
1.86,19.36,12.68,272.76
1.86,8.83,6.74,403.16
1.87,65.21,3,29.17
1.87,43.05,2.86,161.75
1.87,44.04,2.22,171.88
1.88,43.25,10.16,169.52
1.88,11.67,6.25,532.32
1.89,50.18,5.37,123.72
1.9,82.44,2.64,93.77
1.9,43.1,4.98,370.54
1.91,42.79,5.02,166.62
1.91,2.3,6.94,"4,417.49"
1.92,29.19,2.59,174.49
1.92,13.37,9.45,282.54
1.92,13.45,5.74,523.91
1.93,31.86,7.63,69.53
1.93,44.05,4.14,122.45
1.94,54.08,4.63,20.55
1.94,33.21,7.61,229.56
1.94,19.54,7.86,417.21
1.95,72,3.27,49.19
1.95,56.11,0.56,55.29
1.95,49.18,1.17,62.81
1.95,53.8,3.26,154.92
1.95,8.19,5.29,633.95
1.96,38.36,5.33,58.82
1.96,45.99,5,119.14
1.96,42.37,6.87,141.84
1.96,34.21,8.77,249.28
1.96,8.37,0.7,"1,063.49"
1.98,42.95,5.5,88.31
1.98,77.15,2.47,119.61
1.98,59.89,4.06,121.69
1.98,31.55,16.34,234.33
1.99,34.78,-2.24,233.82
1.99,27.36,6.96,248.63
1.99,11.1,11.02,423.68
2,45.33,4.44,40.05
2,41.31,6.46,41.6
2,52.23,4.1,46.74
2,36.03,8.52,103.35
2,36.96,3.23,157.14
2,16.6,3.77,227.46
2,44.93,6.45,231.28
2.01,28.86,9.68,53.61
2.01,18.01,15.74,126.94
2.01,35.76,6.09,164.87
2.01,13.6,6.23,408.62
2.02,85.52,1.94,22.56
2.02,62.93,3.55,117.04
2.02,38.08,4.08,142.99
2.02,57.15,3.53,165.72
2.02,30.56,15.61,247.87
2.02,19.16,4.83,256.88
2.03,72.64,2.58,66.91
2.03,40.77,4.11,167.13
2.03,18.9,12.25,619.26
2.04,85.61,1.74,50.64
2.05,61.15,5.61,7.52
2.05,36.87,6,132.64
2.05,45.67,2.96,157.42
2.06,61.43,3.37,51.89
2.06,44.29,8.75,214.49
2.07,68.05,3.96,67.13
2.07,45.5,4.81,124.6
2.07,42.56,5.45,127.77
2.08,35.01,4.47,102.72
2.08,30.17,4.42,195.45
2.08,28.91,7.91,259.95
2.09,60.75,3.54,29.54
2.09,83.42,1.89,113.21
2.1,31.5,6.49,564.29
2.11,24.32,6.83,167.65
2.11,25.37,26.74,242.21
2.12,53.76,5.7,102.98
2.12,50.95,5.44,117.79
2.12,24.04,5.83,452
2.12,10.54,8.43,797.33
2.13,49.4,6.26,113.11
2.13,31.94,5.79,134.32
2.13,27.96,12.53,228.11
2.14,37.7,9.49,127.92
2.15,77.36,4.18,42.3
2.15,48.98,3.39,149.49
2.15,30.92,9.04,188.77
2.16,24.04,5.55,268.61
2.16,25.04,13.86,270.81
2.17,74.18,3.6,22.36
2.17,29.1,10.5,91.97
2.18,43.18,2.73,80.66
2.18,46.55,5.62,121.45
2.18,28.5,22.29,152.3
2.18,23.4,2.05,267.14
2.19,46.12,17.22,113.2
2.2,31.46,9.53,223.01
2.2,40.89,6.74,454.81
2.21,36.19,6.53,148.62
2.21,34.1,5.73,293.3
2.22,57.76,10.02,16.98
2.22,65.44,5.3,46.15
2.22,39.26,4.29,197.99
2.23,34.7,6.89,74.56
2.23,51.53,5.1,93.33
2.23,14.54,6.46,338.23
2.24,80.15,2.64,5.99
2.24,53.34,8.28,9.03
2.24,54.25,12.6,74.93
2.24,45.64,5.35,143.16
2.24,16.11,5.01,551.8
2.25,43.54,6.24,132.31
2.25,40.8,8.65,156.06
2.25,22.55,7.87,269.77
2.26,89.71,1.57,38.59
2.26,21.3,9.42,287.24
2.28,49.33,4.9,76.35
2.28,47.03,7.5,140.37
2.3,74.87,3,13.06
2.3,44.88,4.16,78.49
2.3,81.48,4.03,121.15
2.3,20.09,9.03,319.66
2.3,18.01,8.19,353.37
2.31,65.32,5.32,61.19
2.31,62.26,2.88,67.19
2.31,51.76,3.75,95.09
2.32,78.67,1.46,7.28
2.32,63.01,3.66,27.01
2.32,75.41,1.58,32.26
2.32,52.47,6.65,57.49
2.32,27.06,8.74,322.76
2.32,5.58,14.33,577.32
2.34,73.51,0.93,73.77
2.36,61.02,5.26,54.19
2.36,18.08,4.49,149.38
2.36,19.7,6.96,176.82
2.36,31.11,4.93,377.8
2.37,62.55,5.89,33.88
2.37,37.99,6.57,91.83
2.37,84.69,2.75,107.09
2.38,49.38,4.5,122.22
2.38,52.43,6.98,189.44
2.39,67.84,2.02,33.69
2.39,79.41,2.53,69.65
2.39,59.81,4.55,92.26
2.4,67.6,6.31,47.46
2.4,24.21,9.7,198.94
2.4,22.09,18.87,257.45
2.4,14.99,7.59,353.03
2.4,15.15,7.46,408.98
2.41,31.15,5.73,163.23
2.42,37.09,5.56,160.65
2.42,24.29,4.55,162.93
2.43,55.1,4.24,96.37
2.43,33.94,8.64,157.96
2.43,32.95,9.17,181.28
2.43,27.85,4.7,270.91
2.43,15.25,10.84,610.34
2.44,69.9,3.49,18.43
2.44,51.3,2.48,30.86
2.44,59.66,5.12,85.02
2.44,36.94,1.87,103.59
2.44,53.49,8.79,116.47
2.44,25.76,14.57,466.28
2.45,43.69,7.93,125.89
2.48,39.24,7.63,43.28
2.48,38.62,6.39,85.13
2.48,22.87,13.78,578.05
2.49,35.32,9.34,136.85
2.5,69.3,4.03,2.32
2.5,44.27,6.79,98.34
2.5,18.15,9.39,216.29
2.52,49.9,8.04,119.77
2.53,55.32,6.87,17.83
2.53,38.74,5.85,150.64
2.54,85.99,3.88,13.03
2.54,61.31,6.19,88
2.55,53.14,5.6,134.17
2.55,40.46,4.69,142.21
2.55,50.23,3.23,214.95
2.55,26.6,8.09,398.6
2.56,68.26,2.06,40.15
2.56,30.61,3.34,137.77
2.56,26.98,11.39,323.53
2.57,53.73,5.65,125.77
2.57,19.33,4.62,421.64
2.57,19.93,2.61,443.2
2.58,37.07,4.97,312.79
2.59,78.15,2.11,6.82
2.6,46.16,3.76,242.19
2.61,73.8,3.06,61.01
2.61,40.6,9.61,133.01
2.61,52.99,9.16,141.13
2.61,14.97,11.95,374.23
2.62,20.81,4.82,265.81
2.63,50.58,4.85,171.54
2.63,11.05,10.82,634.69
2.64,22.72,18,64.01
2.64,20.06,7.5,185.49
2.65,42.45,11.69,24.03
2.66,38.95,12.13,147.74
2.66,38.43,9.44,352.46
2.66,24.7,8.38,620.57
2.67,30.23,10.98,203.42
2.67,10.67,6.79,288.9
2.68,62.58,3.39,17.82
2.69,51.91,5.12,68.82
2.69,25.06,12.88,179.87
2.69,20.57,5.28,200.61
2.7,45.2,4.21,161.36
2.7,23.78,8.53,234.88
2.7,7.86,9.4,750.78
2.71,42.32,7.76,160.1
2.72,42.25,8.36,124.25
2.73,34.66,6.63,138.03
2.74,52.63,7.4,51.03
2.74,39.27,4.82,139.89
2.74,47.72,6.63,147.46
2.75,20.58,2.98,333.67
2.76,49.08,5.26,108.21
2.76,21.62,5.55,108.75
2.76,32.1,3.01,158.95
2.76,43.14,5.93,177.01
2.76,38.78,3.12,226.83
2.77,50.99,2.91,154.25
2.78,56.31,6.09,97.79
2.78,50.57,5.92,156.72
2.78,43.58,7.17,158.86
2.78,31.79,2.16,198.31
2.78,29.2,4.7,246.45
2.79,47.7,5.34,106.79
2.79,21.7,8.59,461.35
2.81,63.56,4.66,64.37
2.81,69.78,3.6,66.26
2.81,36.73,12.74,252.7
2.81,22.28,3.54,256.94
2.81,12.56,3.95,665.08
2.82,40.81,4.74,54.12
2.82,38.64,5.36,232.66
2.83,65.55,2.91,88.01
2.83,55.27,5.31,91.5
2.83,9.95,5.67,622.47
2.84,17.15,5.66,646.15
2.86,39.16,16.7,143.78
2.87,92.59,1.44,6.25
2.87,27.75,5.51,100.49
2.88,66.25,4.26,27.08
2.88,55.48,3.49,62.84
2.88,37.6,5.68,138.55
2.89,39.02,7.03,124.02
2.89,38.66,5.34,144.27
2.89,22.2,6.75,206.56
2.91,60.35,3.79,46.63
2.91,12.51,12.67,609.48
2.92,61.85,7.02,91.49
2.92,31.05,8.01,257.08
2.93,65.23,3.87,52.05
2.94,57.94,2.17,59.9
2.95,27.77,10.22,167.73
2.95,19,6.1,321.77
2.96,47.37,9.24,162.48
2.97,83.86,2.36,3.56
2.98,63.84,5.95,68.42
2.98,24.84,15.41,199.91
2.98,22.44,5.78,228.34
2.99,54.18,6.76,87.22
2.99,36.64,6.67,118.94
2.99,36.72,5.12,281.15
3,44.21,4.55,101.49
3,54.03,9.01,124.35
3,36.82,9.22,131.2
3,43.36,4.93,148.58
3,34.4,17.24,163.95
3.01,24.04,10.51,125.31
3.01,29.49,10.99,241.52
3.01,21.58,3.06,255.73
3.01,26.87,9.53,332.3
3.01,10.7,14.97,363.95
3.02,50.98,5.72,80.44
3.03,65.43,2.24,64.08
3.04,39.88,9.11,60.69
3.04,52.79,2.81,181.67
3.05,43.01,5.78,160.39
3.05,40.37,3.26,224.13
3.06,51.91,10.71,118.45
3.07,32.16,6.92,193.29
3.08,53.83,6.78,71.46
3.08,57.85,5.95,94.73
3.09,65.18,1.31,88.41
3.1,50.7,7.3,185.62
3.11,65.52,8.52,26.1
3.11,36.76,6.09,105.41
3.11,31.25,7.19,144.89
3.12,31.31,16.63,71.27
3.12,57.34,11.45,134.07
3.12,37.82,6.08,149.83
3.12,19.01,7.31,304.34
3.12,34.73,10.71,350.01
3.12,11.56,15.48,483.49
3.13,19.55,7.75,157.5
3.14,55.79,5.16,64.34
3.14,49.2,9.1,157.21
3.16,45.25,3.6,119.95
3.17,65.99,3.13,36.87
3.18,25.81,13.99,297.54
3.2,52.22,8.15,85.65
3.2,50.42,5.17,96.58
3.2,48.78,3.13,124.21
3.2,30.5,7.57,131.23
3.2,28.17,8.29,155.84
3.2,29.16,14.01,186.24
3.2,27.56,9,223.52
3.2,17.52,12.37,478.51
3.21,60.45,8.8,52.81
3.21,60.45,3.24,94.51
3.21,34.4,14.92,126.19
3.23,70.68,4.63,67.76
3.23,32.2,7.52,228.65
3.24,58.05,4.4,136.22
3.25,63.89,6.54,38.39
3.25,72.61,2.63,128.36
3.26,53.75,6.64,76.37
3.26,7.2,3.96,"1,477.84"
3.27,24.27,6.57,191.57
3.28,41.08,5.49,117.18
3.28,43.02,4.17,136.33
3.28,49.9,4.41,152.15
3.29,55.32,6.25,109.37
3.29,32.48,10.01,189.59
3.31,63.17,3.89,66.04
3.31,59.07,3.53,67.99
3.31,12.42,11.82,247.8
3.32,27.62,5.06,170.19
3.33,49.03,6.93,166.85
3.34,13.75,15.98,445.84
3.35,37.43,11.3,136.71
3.36,40.51,13.02,148.75
3.37,33.63,9.29,204.35
3.37,62.78,8.23,206.2
3.38,74.4,3.58,70.12
3.38,48.78,6.48,71.07
3.38,49.13,5.57,167.91
3.38,16.76,11.54,327.78
3.39,52.26,7.56,119.4
3.39,33.13,8.31,205.63
3.39,41.07,5.27,217.92
3.39,13.94,18.08,341.44
3.4,49.51,5.72,76.17
3.4,49.21,3.59,133.18
3.4,32.98,3.42,223.99
3.42,53.34,5.73,49.03
3.42,35.22,5.3,63.31
3.43,43.88,8.55,144.73
3.44,36.77,11.95,158.08
3.46,19.27,3.9,416.56
3.47,37.95,9.93,70.4
3.49,22.53,6.54,407.92
3.5,86.19,2.03,23.48
3.5,66.32,6.28,30.57
3.5,39.31,3.9,89.49
3.5,50.38,4.72,118.7
3.5,21.4,21.22,386.33
3.51,67.24,8.32,52.27
3.51,81.32,3.18,71.94
3.51,19.11,8.56,273.27
