yield,current,total,roa
3.64,147.17,18.87,5.36
0,143.96,18.98,13.23
4.18,156.14,19.03,7.36
1.08,364.66,19.25,-0.45
3.58,139.78,19.27,1.91
4.32,128.49,19.39,3.38
3.74,148.41,19.42,0.88
3.54,125.15,19.65,1.96
3.32,151.46,19.66,5.23
1.19,174.49,19.68,2.64
3.04,171.78,19.78,6.15
2.98,124.42,19.81,5.05
3.69,233.99,19.93,8.3
4.54,249.53,20,8.49
2.52,373.82,20.01,16.39
0.46,259.38,20.35,0.97
1.29,185.17,20.62,3.94
2.69,113.22,20.64,2.24
4.26,409.94,20.73,16.9
0.76,84.4,21.22,1.18
1.35,228.03,21.32,2.86
3.44,103.35,21.58,5.37
3.05,111.87,21.71,10.34
2.78,135.67,21.71,2.62
3.51,211.47,21.71,1
2.39,177.12,21.76,4.11
3.25,139.57,21.8,4.36
0,184.04,22.15,0.46
1.12,193.36,22.37,2.84
4.56,623.47,22.43,4.47
1.31,212.18,22.63,3.03
5.11,271.78,22.76,6.73
3.34,250.17,22.81,6.72
4.21,172.3,23.05,6.55
0,142.34,23.09,-0.89
0,153.06,23.21,1.81
3.82,254.42,23.34,7.42
0,"2,686.3",23.42,-2.16
0,"5,936.01",23.48,-4.86
5.42,149.57,23.73,6.33
3.39,144.94,23.88,2.77
4.11,177.74,23.91,10.52
2.32,134.3,23.95,1.25
3.28,153.61,24.39,4.14
1.71,416.85,24.4,4.48
0,157.28,24.46,1.83
1.58,286.69,24.87,11.78
0.87,342.38,25.06,1.7
0,131.35,25.37,0.11
0,"10,424.13",25.5,-7.49
2.97,234.7,25.71,11.6
1.19,243.5,26.01,-1.02
3.9,129.42,26.02,2.85
1.38,259.49,26.16,1.47
3.16,141.1,26.51,3.71
2.07,384.56,26.67,4.67
0.6,156.11,26.83,1.67
1.66,151.7,27.15,6.84
4.35,167.94,27.33,3.71
2.53,157.71,27.37,1.83
5.77,152.89,27.44,8.86
1.2,282.35,27.45,1.29
2.32,132.97,27.53,3.77
2.92,185.25,27.86,3.72
0.92,145.35,27.94,6.34
3.67,163.38,28.23,5.97
1.25,253.88,28.59,9.71
2.65,203.95,28.75,1.74
3.45,84.68,28.77,6.22
3.26,46.17,29.04,2.99
1.85,155.89,29.39,18.7
1.04,132.62,30.28,-0.85
2.37,88.43,31.25,3.65
2.87,78.49,31.37,1.43
1.04,245.9,31.43,7.47
5.05,309.39,31.79,6.76
2.25,156.5,31.89,1.98
1.28,277.55,32.07,4.22
0.43,141.55,32.5,4.16
5.52,113.88,32.52,2.29
2.25,357.64,32.54,7.08
3.16,169.77,33.01,6.13
3.4,144.54,33.46,3.26
3.1,140.95,33.9,0.98
1.75,207.18,34.95,16.39
0,135.45,35.38,-0.4
0,200.05,35.42,-0.79
13.02,374.3,35.89,0.4
2.1,132.2,35.91,8.41
2.74,89.5,36.39,2.87
5.51,86.15,36.52,3.04
4.48,115.6,37.32,2.16
1.59,161.67,38.17,10.32
0.67,258.69,38.91,6.05
0,127.16,38.97,36.34
1.69,209.68,39.34,8.81
1.8,146.89,40.25,11.68
3.33,124.6,40.5,5.04
3.09,149.38,40.5,4.56
1.13,119.07,40.88,3.36
1.81,106.32,41.04,6.67
5.07,87.04,41.26,1.48
2.18,169.03,41.29,14.48
5.39,126.57,42.59,6.42
2.94,133.97,43.09,2.91
5.3,107.89,43.84,0.97
0,137.96,45.33,-1.05
2.04,329.68,45.47,-0.37
2,454.82,45.88,3
0.97,151.61,46.94,5.01
0.93,434.83,47.7,4.67
3.26,302.16,49.14,13.84
2.09,161.83,49.25,7.02
2.63,158.06,49.65,4.02
0.62,211.83,49.67,9.91
0,159.52,50.58,1.39
0.74,131.95,52.6,8.79
4.52,145.85,55.99,6.63
4.34,309.73,57.27,10.31
0,148.83,57.37,19.22
1.04,97.37,58.37,33.49
4.9,155.45,59.41,3.4
1.38,"1,015.04",59.45,52.49
3.6,135.73,60.42,4.67
0.69,"1,596.22",64.66,1.45
0.72,207.72,64.69,5.95
0.88,195.18,69,4.53
1.12,243.18,69.57,8.03
2.19,167.94,70.31,6.08
0,122.1,70.65,-6.8
0,131.38,74.59,-5.05
0.93,151.02,84.84,0.9
0.83,460.47,89.84,10.76
1.45,158.37,108.18,2.87
1.46,119.4,108.7,6.13
1.38,547.38,124.87,29.47
0.92,269.57,142.77,9.86
1.26,117.08,166.72,2.83
